trace_id	source_kind	source_ref	paper_item	local_scope	code_refs	evidence_refs	evidence_exists	status	boundary
eq_root_current_frame	latex_equation	reproduction/paper/source/root.tex:491-499	Root position/rotation/velocity in current yaw-centric character frame.	formula_and_debug_dataset	reproduction/src/beyondmimic_reimpl/geometry/rotations.py,reproduction/tests/test_core_math.py	res/level_c/trajectory_inverse_transform_audit/level_c_trajectory_inverse_transform_audit.json,res/level_c/paper_state_windows/level_c_paper_state_windows.json,res/tests/core_math_unit_tests/core_math_unit_tests.json	True	covered_debug_formula	Formula and paper-state window checks exist; no trained state-latent rollout dataset uses this end-to-end.
eq_body_local_frame	latex_equation	reproduction/paper/source/root.tex:511	Body local positions/velocities in local root frames.	formula_and_debug_dataset	reproduction/scripts/build_level_c_paper_state_windows.py	res/level_c/state_representation_source_audit/level_c_state_representation_source_audit.json,res/level_c/paper_state_windows/level_c_paper_state_windows.json	True	covered_debug_formula	Body local positions match; audit records remaining non-paper-exact debug boundaries.
eq_ou_noise	latex_equation	reproduction/paper/source/root.tex:540	OU action perturbation process.	formula_and_debug_augmentation	reproduction/src/beyondmimic_reimpl/sampling.py,reproduction/tests/test_core_math.py	res/level_c/augmentation_probe/level_c_augmentation_probe.json,res/level_c/rollout_rejection_manifest_probe/level_c_rollout_rejection_manifest_probe.json,res/tests/core_math_unit_tests/core_math_unit_tests.json	True	covered_debug_formula	OU mechanics are tested/debugged; no true VAE rollout perturbation data exists.
eq_joystick_cost	latex_equation	reproduction/paper/source/root.tex:551	Joystick planar velocity guidance cost.	formula_and_debug_guidance	reproduction/src/beyondmimic_reimpl/guidance/costs.py,reproduction/tests/test_core_math.py	res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json,res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json,res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json,res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json,res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json,res/tests/core_math_unit_tests/core_math_unit_tests.json	True	covered_public_data_formula	Formula/gradient tests and full-split public-data offline/reverse joystick guidance metrics exist; no closed-loop joystick rollout exists.
eq_waypoint_cost	latex_equation	reproduction/paper/source/root.tex:557	Waypoint position-to-velocity guidance cost.	formula_and_debug_guidance	reproduction/tests/test_core_math.py	res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json,res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json,res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json,res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json,res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json	True	covered_public_data_formula	Cost behavior is audited in formula/debug probes and full-split public-data offline/reverse waypoint guidance metrics; paper scene protocol and no closed-loop videos remain missing.
eq_sdf_cost	latex_equation	reproduction/paper/source/root.tex:565-570	SDF obstacle cost and relaxed barrier.	formula_and_debug_guidance	reproduction/src/beyondmimic_reimpl/guidance/costs.py,reproduction/tests/test_core_math.py	res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json,res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json,res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json,res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json,res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json	True	covered_public_data_formula	Barrier formula is implemented/tested and full-split public-data offline/reverse obstacle guidance metrics exist; no closed-loop obstacle trial videos exist.
setting_tracking_ppo_domain_reward	paper_table_values	root.tex tables 769-825 and tracking source	PPO, reward, domain randomization, tracking target/body values.	official_source_and_config_audit	reproduction/third_party/official/whole_body_tracking	res/tracking/smoke_config_audit/tracking_config_audit.json,res/paper_table_values/paper_table_value_audit.json	True	covered_static_source	Official config/table values match where public; live Kit rollout/training is blocked.
setting_vae_hyperparameters	paper_table_values	root.tex table 801-825	VAE latent dimension, MLP dimensions, loss weights, accumulation.	debug_architecture_and_loss	reproduction/src/beyondmimic_reimpl/vae/latent.py	res/level_c/vae_contract_audit/level_c_vae_contract_audit.json,res/level_c/vae_accumulation_probe/level_c_vae_accumulation_probe.json,res/paper_table_values/paper_table_value_audit.json	True	covered_debug_architecture	Architecture/loss settings are debug-matched; no true DAgger-trained checkpoint exists.
setting_diffusion_hyperparameters	paper_table_values	root.tex diffusion table and method text	Diffusion token dimensions, 20 steps, Transformer size, optimizer schedule, EMA.	debug_architecture_and_schedule	reproduction/src/beyondmimic_reimpl/diffusion/schedules.py	res/level_c/paper_state_transformer_arch_probe/level_c_paper_state_transformer_arch_probe.json,res/level_c/transformer_parameter_count_audit/level_c_transformer_parameter_count_audit.json,res/level_c/training_schedule_probe/level_c_training_schedule_probe.json,res/paper_table_values/paper_table_value_audit.json	True	covered_debug_architecture	Architecture/schedule probes exist; no long diffusion training or trained checkpoint exists.
setting_deployment_protocol	latex_setting	reproduction/paper/source/root.tex:583-593	25 Hz control, 20 ms diffusion, TensorRT, RTX 4060 Mobile, 500 Hz estimator.	protocol_and_budget_audit	reproduction/scripts/level_c_deployment_protocol_audit.py	res/level_c/deployment_protocol_audit/level_c_deployment_protocol_audit.json,res/level_c/smoothness_latency_audit/level_c_smoothness_latency_audit.json	True	covered_protocol_only	Deployment claims are indexed and debug-budgeted; no TensorRT/async/Mini-PC deployment exists.
