key	value
checks.all_steps_reach_zero	True
checks.full_reverse_reduces_mse	True
checks.observed_tokens_clamped	True
checks.one_step_reduces_mse	True
checks.step_trace_monotone_nonincreasing	True
experiment_type	debug_only
metrics.final_max_step	0
metrics.final_mse	5.253923735449295e-10
metrics.initial_max_step	19
metrics.initial_mse	0.11735366650108521
metrics.max_step_trace	[19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]
metrics.mse_trace	[0.11735366650108521, 0.02061608879839087, 0.004080559668625104, 0.001380808858362511, 0.0008423812456245717, 0.000625265841795637, 0.00047217305922180654, 0.0003500435028279678, 0.00025284556780427937, 0.0001771129780412139, 0.00011960978869526158, 7.726271084195064e-05, 4.721809896699967e-05, 2.6876820386405176e-05, 1.3917035377268512e-05, 6.312055912197442e-06, 2.3452700253351013e-06, 6.224982305178783e-07, 8.177915225524507e-08, 5.253923735449295e-10]
metrics.observed_clamp_max_abs_error	0.0
metrics.one_step_max_step	18
metrics.one_step_mse	0.02061608879839087
not_a_replacement_for	"[""paper-exact alpha/gamma/sigma schedule"", ""trained denoising network"", ""TensorRT deployment"", ""guided rollout evaluation""]"
outputs.json	/mnt/infini-data/test/BeyondMimic/res/level_c/reverse_denoising_probe/level_c_reverse_denoising_probe.json
outputs.npz	/mnt/infini-data/test/BeyondMimic/res/level_c/reverse_denoising_probe/level_c_reverse_denoising_probe.npz
outputs.tsv	/mnt/infini-data/test/BeyondMimic/res/level_c/reverse_denoising_probe/level_c_reverse_denoising_probe.tsv
paper_evidence.individual_denoising_steps	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:171-185
paper_evidence.reverse_formula	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:197-206
scope	oracle clean-predictor reverse denoising mechanics probe
settings.latent_dim	32
settings.schedule	future_keyframe_inpainting
settings.seed	20260828
settings.state_dim	181
settings.stochastic_sigma	0.0
settings.tau_shape	[21, 213]
status	ok
