requirement	anchor	patterns	anchor_present	patterns_present	passed
official_code_used	Official code used:	whole_body_tracking; motion_tracking_controller	True	True	True
paper_reimplementation	Paper-faithful reimplementation:	VAE; diffusion; guidance	True	True	True
released_data_reproduction	Released-data reproduction:	released data; released-figure	True	True	True
retrained_results	Retrained results:	no paper-scale; debug overfit	True	True	True
qualitative_only	Qualitative-only comparison:	qualitative; paper_vs_reproduction.csv	True	True	True
not_publicly_reproducible	Not publicly reproducible:	missing official Level C; Fig. 5/Fig. 6	True	True	True
result_differences	Result differences:	exact; approximate; not-publicly-reproducible	True	True	True
difference_sources	Difference sources:	blocked gates; adaptive-sampling discrepancy	True	True	True
credibility	Current reproduction credibility:	strong; partial; blocked	True	True	True
complete_incomplete_scope	Completed and incomplete scope:	completion matrix; blocked-gate	True	True	True
hardware_cost_training_time	Hardware cost and training time:	GPU resource; wall-clock time	True	True	True
one_command_rerun	One-command rerun path:	Verification Commands; RUNBOOK.md	True	True	True
