kind	source	label	caption_excerpt	graphics	content_excerpt
figure	reproduction/paper/source/root.tex:191	fig:teaser	\textbf{Overview of the proposed versatile humanoid control framework.} (\textbf{A}) Scalable and robust learning from human motions with agile, human-like behaviors via motion tracking. (\textbf{B}) Versatile control over unseen downstream tasks with diverse learned motor skills via guided diffusion.	"[""figures/Fig1.pdf""]"	\begin{figure} \centering \includegraphics[width=1.0\textwidth]{figures/Fig1.pdf} \caption{\textbf{Overview of the proposed versatile humanoid control framework.} (\textbf{A}) Scalable and robust learning from human motions with agile, human-like behaviors via motion tracking. (\textbf{B}) Versatile control over unseen downstream tasks with diverse learned motor skills via guided diffusion.} \label{fig:teaser} \end{figure}
figure	reproduction/paper/source/root.tex:198	fig:more_motion	\textbf{Diverse motion tracking policies deployed on a real humanoid robot.	"[""figures/Fig2.pdf""]"	\begin{figure} \centering \includegraphics[width=1.0\textwidth]{figures/Fig2.pdf} \caption{\textbf{Diverse motion tracking policies deployed on a real humanoid robot.} \label{fig:more_motion} We demonstrate accurate and robust tracking across a wide spectrum of motions, ranging from static to highly dynamic and from athletic feats to stylized motions, showing the scalability of our framework. In total, 30 distinct motion clips are deployed on hardware; with a subset shown here due to space. See Movie~S2 for the full repertoire. } \end{figure}
figure	reproduction/paper/source/root.tex:206	fig:agile	\textbf{Human-level Agility exhibited in a highly dynamic acrobatic motion.} (\textbf{A}) Real-world forest demonstration showing one continuous motion including: \(180^\circ\) side flip (aerial cartwheel), two consecutive \(180^\circ\) side spin kicks, and a \(360^\circ\) flip kick. (\textbf{B}) Robot's orientation, linear acceleration, and angular velocity, illustrating highly dynamic behavior; red, blue, and purple shaded intervals denote the \(180^\circ\) side flip, the two \(180^\circ\) side spin kicks, and the \(360^\circ\) flip kick, respectively.	"[""figures/Fig3.pdf""]"	\begin{figure} \centering \includegraphics[width=1.0\textwidth]{figures/Fig3.pdf} \caption{\textbf{Human-level Agility exhibited in a highly dynamic acrobatic motion.} (\textbf{A}) Real-world forest demonstration showing one continuous motion including: \(180^\circ\) side flip (aerial cartwheel), two consecutive \(180^\circ\) side spin kicks, and a \(360^\circ\) flip kick. (\textbf{B}) Robot's orientation, linear acceleration, and angular velocity, illustrating highly dynamic behavior; red, blue, and purple shaded intervals denote the \(180^\circ\) side flip, the two \(180^\circ\) side spin kicks, and the \(360^\circ\) flip kick, respectively. } \label{fig:agile} \end{figure}
figure	reproduction/paper/source/root.tex:215	fig:natural	"\textbf{Human-like naturalness in walking and running motion.} (\textbf{A}) Natural running on a sports field. (\textbf{B}) Natural walking on a sports field. (\textbf{C}) Comparison of weight-normalized GRF profiles for human vs.\ humanoid during walking and running, showing comparable shapes, contact forces, and timing. (\textbf{D}) Example video clips used in the user study. (\textbf{E}) User-study results for the question ``Which looks more human-like and natural?"", comparing our policies vs.\ Unitree’s native walking and running controller, showing that ours is significantly more preferred. The error bars indicate 95\% confidence intervals. (\textbf{F}) Natural response to interference "	"[""figures/Fig4.pdf""]"	"\begin{figure} \centering \includegraphics[width=1.0\textwidth]{figures/Fig4.pdf} \caption{\textbf{Human-like naturalness in walking and running motion.} (\textbf{A}) Natural running on a sports field. (\textbf{B}) Natural walking on a sports field. (\textbf{C}) Comparison of weight-normalized GRF profiles for human vs.\ humanoid during walking and running, showing comparable shapes, contact forces, and timing. (\textbf{D}) Example video clips used in the user study. (\textbf{E}) User-study results for the question ``Which looks more human-like and natural?"", comparing our policies vs.\ Unitree’s native walking and running controller, showing that ours is significantly more preferred. The error bars indicate 95\% confidence intervals. (\textbf{F}) Natural response to interference during walking to a goal.} \label{fig:natural} \end{figure}"
figure	reproduction/paper/source/root.tex:223	fig:versatile_loco	\textbf{Command-conditioned locomotion via guided diffusion.} (\textbf{A}) Visualization of diffusion process under joystick control. Starting from Gaussian noise, the distribution progressively converges to optimize for a right-turn command. (\textbf{B}) Waypoint navigation. From multiple start points, the robot reaches the goal using forward or backward walking. (\textbf{C}) Joystick teleoperation. The robot tracks the joystick velocity command. Even under an impulsive disturbance, it recovers quickly and continues following the backward command. (\textbf{D}) t-SNE visualization of the latent space, illustrating the transition from walking to running. (\textbf{E}) Real-world transition fro	"[""figures/Fig5.pdf""]"	\begin{figure} \centering \includegraphics[width=1.0\textwidth]{figures/Fig5.pdf} \vspace{-1.2cm} \caption{\textbf{Command-conditioned locomotion via guided diffusion.} (\textbf{A}) Visualization of diffusion process under joystick control. Starting from Gaussian noise, the distribution progressively converges to optimize for a right-turn command. (\textbf{B}) Waypoint navigation. From multiple start points, the robot reaches the goal using forward or backward walking. (\textbf{C}) Joystick teleoperation. The robot tracks the joystick velocity command. Even under an impulsive disturbance, it recovers quickly and continues following the backward command. (\textbf{D}) t-SNE visualization of the latent space, illustrating the transition from walking to running. (\textbf{E}) Real-world transition from walking to running conditioned on velocity command. } \label{fig:versatile_loco} \end{figure}
figure	reproduction/paper/source/root.tex:237	fig:versatile_inpaint_sdf	\textbf{Task transition and composition.} (\textbf{A}) Motion inpainting with future keyframes. (i) Desired future keyframes with $0.2$~s intervals. (ii) Starting from walking, the robot smoothly completed the cartwheel by inpainting both the transition and the intermediate motion between the keyframes. (iii) Long-horizon execution with four keyframed-conditioned cartwheels interwoven with velocity-conditioned walking and running, achieving smooth multi-round transitions between different tasks and motions, demonstrating its versatility in task specifications. (\textbf{B}) Real-world obstacle avoidance. We demonstrated scene-aware navigation by composing waypoint and obstacle-avoidance costs	"[""figures/Fig6.pdf""]"	\begin{figure} \centering \includegraphics[width=1.0\textwidth]{figures/Fig6.pdf} \caption{\textbf{Task transition and composition.} (\textbf{A}) Motion inpainting with future keyframes. (i) Desired future keyframes with $0.2$~s intervals. (ii) Starting from walking, the robot smoothly completed the cartwheel by inpainting both the transition and the intermediate motion between the keyframes. (iii) Long-horizon execution with four keyframed-conditioned cartwheels interwoven with velocity-conditioned walking and running, achieving smooth multi-round transitions between different tasks and motions, demonstrating its versatility in task specifications. (\textbf{B}) Real-world obstacle avoidance. We demonstrated scene-aware navigation by composing waypoint and obstacle-avoidance costs. When given a goal directly ahead, the robot successfully detoured around the obstacle and reached the target.} \label{fig:versatile_inpaint_sdf} \end{figure}
figure	reproduction/paper/source/root.tex:246	fig:pipline	\textbf{Overview of the framework.} (\textbf{A}) Scalable learning of diverse human motions via motion tracking. (i) The target motion is re-anchored to the current pose to allow drift and recovery, which is critical for successful sim-to-real transfer. (ii) Diverse motions are tracked with RL using a single recipe and shared hyperparameters, showing scalability across a broad spectrum of skills. (\textbf{B}) Versatile control via latent state-action diffusion model. (i) Stage 1: A VAE is trained via DAgger to compress the diverse motion tracking policies into a smooth, structured latent space. (ii) Stage 2: A state-latent diffusion model is trained on VAE trajectory rollouts. During inferen	"[""figures/Fig7.pdf""]"	\begin{figure} \centering \vspace{-0.5cm} \includegraphics[width=1.0\textwidth]{figures/Fig7.pdf} \caption{\textbf{Overview of the framework.} (\textbf{A}) Scalable learning of diverse human motions via motion tracking. (i) The target motion is re-anchored to the current pose to allow drift and recovery, which is critical for successful sim-to-real transfer. (ii) Diverse motions are tracked with RL using a single recipe and shared hyperparameters, showing scalability across a broad spectrum of skills. (\textbf{B}) Versatile control via latent state-action diffusion model. (i) Stage 1: A VAE is trained via DAgger to compress the diverse motion tracking policies into a smooth, structured latent space. (ii) Stage 2: A state-latent diffusion model is trained on VAE trajectory rollouts. During inference, the current action is decoded from the denoised latent. (\textbf{C}) Versatile capabilities demonstrated zero-shot on unseen downstream tasks through test-time guidance. } \label{fig:pipline} \end{figure}
figure	reproduction/paper/source/root.tex:258	fig:ablation	\textbf{Ablation studies.} (\textbf{A}) Motion tracking error comparison ablating orientation representation, history length, armature, and delay, showing that continuous orientations, no observation history, correct armature settings, and minimal deployment delay are critical for sim-to-real transfer in our setup. (\textbf{B}) Training performance ablating adaptive sampling (AS). (i) Iterations required to solve the motion; without AS, difficult segments remain unsolved even after 30k iterations. (ii) Visualization for \textit{Motion~1}, highlighting two challenging cartwheel segments that cause the baseline to fail. (iii) Evolution of the sampling distribution, showing that AS concentrates	"[""figures/Fig8.pdf""]"	\begin{figure} \centering \includegraphics[width=1.0\textwidth]{figures/Fig8.pdf} \caption{\textbf{Ablation studies.} (\textbf{A}) Motion tracking error comparison ablating orientation representation, history length, armature, and delay, showing that continuous orientations, no observation history, correct armature settings, and minimal deployment delay are critical for sim-to-real transfer in our setup. (\textbf{B}) Training performance ablating adaptive sampling (AS). (i) Iterations required to solve the motion; without AS, difficult segments remain unsolved even after 30k iterations. (ii) Visualization for \textit{Motion~1}, highlighting two challenging cartwheel segments that cause the baseline to fail. (iii) Evolution of the sampling distribution, showing that AS concentrates sampling on difficult segments early on and spreads out as learning progresses.} \label{fig:ablation} \end{figure}
figure	reproduction/paper/source/root.tex:609	fig:tracking_pipeline	\textbf{Motion Tracking Overview.} Our actor-critic architecture for motion tracking. The actor network takes observations: motion phase $\boldsymbol{\psi}$, anchor pose error $\mathbf{e}_{\text{anchor}}$, IMU twist $\mathcal{V}_{\text{imu}}$, relative joint positions $\boldsymbol{\theta} - \boldsymbol{\theta}^{0}$, joint velocities $\dot{\boldsymbol{\theta}}$, and previous action $\mathbf{a}_{\text{last}}$. The critic receives the same observations in addition to the per-body relative poses w.r.t. the anchor $T_{\text{b}}$ for a desired set of bodies \(b \in \mathcal{B}_\text{target}\). We compute tracking rewards for position $\mathbf{p}$, orientation $R$, linear velocity $\mathbf{v}$, and	"[""figures/sup_fig1_tracking_pipeline.pdf""]"	\begin{figure} \centering \includegraphics[width=1.0\textwidth]{figures/sup_fig1_tracking_pipeline.pdf} \caption{\textbf{Motion Tracking Overview.} Our actor-critic architecture for motion tracking. The actor network takes observations: motion phase $\boldsymbol{\psi}$, anchor pose error $\mathbf{e}_{\text{anchor}}$, IMU twist $\mathcal{V}_{\text{imu}}$, relative joint positions $\boldsymbol{\theta} - \boldsymbol{\theta}^{0}$, joint velocities $\dot{\boldsymbol{\theta}}$, and previous action $\mathbf{a}_{\text{last}}$. The critic receives the same observations in addition to the per-body relative poses w.r.t. the anchor $T_{\text{b}}$ for a desired set of bodies \(b \in \mathcal{B}_\text{target}\). We compute tracking rewards for position $\mathbf{p}$, orientation $R$, linear velocity $\mathbf{v}$, and angular velocity $\boldsymbol{\omega}$ between the desired and actual poses and twists, in addition to three regularization terms. We domain randomize over contact coefficients, joint offsets, and torso center of mass only.} \label{fig:tracking_pipeline} \end{figure}
figure	reproduction/paper/source/root.tex:616	fig:extra-ablation	\textbf{Extra Ablation On PD Gains} Ablating on PD Gains, We find that following our heuristics formula with a moderate natural frequency yields the best global tracking performance and surpasses the hand-tuned gains used in prior work~\cite{he2025asap}. Although increasing the natural frequency can further reduce local tracking error, it results in significant torque overshoots that produces audible jitter and can stress the hardware.	"[""figures/sup_fig2_w.png""]"	\begin{figure} \centering \includegraphics[width=1.0\textwidth]{figures/sup_fig2_w.png} \caption{\textbf{Extra Ablation On PD Gains} Ablating on PD Gains, We find that following our heuristics formula with a moderate natural frequency yields the best global tracking performance and surpasses the hand-tuned gains used in prior work~\cite{he2025asap}. Although increasing the natural frequency can further reduce local tracking error, it results in significant torque overshoots that produces audible jitter and can stress the hardware. } \label{fig:extra-ablation} \end{figure}
