claim_id	paper_source	paper_claim	paper_value	local_status	evidence	evidence_strength	missing_for_paper_reproduction	passed
scalable_2_5h_all_sim_30_real_clips	reproduction/paper/source/tex/results.tex:8-11; reproduction/paper/source/root.tex:472-864	About 2.5 hours of motions, all validated in simulation, 30 representative clips deployed on hardware.	2.5h; 30 clips; 15 minutes	source_table_data_audit_only	res/paper_skill_success_table_audit/skill_success_table_data_audit.json	table/source/data availability audit	sim execution success logs; Unitree G1 hardware execution log/video; real robot state/action telemetry	True
fig3b_imu_dynamics_released	reproduction/paper/source/tex/results.tex:13-18; reproduction/paper/source/root.tex:206-212	Agile real-world motion has high acceleration and angular velocity; Fig.3B IMU curves are released.	31 m/s^2 peak acceleration; 20 rad/s peak angular velocity; 7.01 rad/s mean	partial_released_data_reproduced	res/released_figures/imu_orientation_accel_angular_velocity/imu_orientation_accel_angular_velocity_processed.csv; res/released_panel_mapping_audit/released_panel_mapping_audit.json; res/tables/released_data_statistical_audit/released_data_statistical_audit.json	released Fig.3B curve reproduction plus statistical audit and paper-claim norm checks	paper's exact highlighted interval mask for the reported scalar values	True
fig4c_grf_released	reproduction/paper/source/tex/results.tex:23-32; reproduction/paper/source/root.tex:215-219	Walking/running GRF profiles are human-like and released for Fig.4C.	GRF shape comparison	partial_released_data_reproduced	res/released_figures/grf_walk_human_reference/grf_walk_human_reference.pdf; res/released_figures/grf_run_human_reference/grf_run_human_reference.pdf; res/released_figures/grf_walk_robot_real/grf_walk_robot_real.pdf; res/released_figures/grf_run_robot_real/grf_run_robot_real.pdf; res/tables/released_data_statistical_audit/released_grf_confidence_intervals.csv	released Fig.4C GRF component reproduction plus confidence intervals	video/user-study/recovery panels outside released GRF data	True
user_study_n77_preference	reproduction/paper/source/tex/results.tex:28-29	User study prefers BeyondMimic over Unitree native controller.	N=77; 70.8/29.2 overall; 57.0/43.0 walking; 84.7/15.3 running	paper_only_unreproduced	reproduction/paper/source/tex/results.tex:28-29	paper source only	participant responses; clip set; statistical analysis notebook	True
fig5a_joystick_diffusion_process	reproduction/paper/source/root.tex:227-229; reproduction/paper/source/tex/results.tex:34-38	Diffusion process under joystick guidance converges toward a right-turn command.	Figure 5A qualitative process	debug_mechanics_only	res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json; res/level_c/guided_reverse_loop_probe/level_c_guided_reverse_loop_probe.json; res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	formula/source plus debug reverse-loop mechanics	trained VAE/diffusion checkpoint; closed-loop Level C rollout log; official Fig.5/Fig.6 data or videos	True
fig5b_waypoint_navigation	reproduction/paper/source/root.tex:229; reproduction/paper/source/tex/results.tex:40-42	Robot reaches waypoint goals from multiple starts using forward/backward walking.	Figure 5B qualitative result	formula_debug_only	res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json	waypoint cost formula and debug gradients	trained VAE/diffusion checkpoint; closed-loop Level C rollout log; official Fig.5/Fig.6 data or videos; waypoint rollout logs	True
fig5c_joystick_disturbance_recovery	reproduction/paper/source/root.tex:230; reproduction/paper/source/tex/results.tex:42	Joystick teleoperation tracks commands and recovers from impulsive disturbance.	Figure 5C qualitative result	blocked_closed_loop_required	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	blocked-feasibility audit	trained VAE/diffusion checkpoint; closed-loop Level C rollout log; official Fig.5/Fig.6 data or videos; disturbance/recovery execution log	True
velocity_tracking_errors	reproduction/paper/source/tex/results.tex:42	Simulation walking/running command tracking errors.	12.14% walking; 13.65% running	not_publicly_reproducible_currently	res/comparison/paper_vs_reproduction.json; res/evaluation_metrics_coverage/evaluation_metrics_coverage_audit.json; res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json; res/tests/core_math_unit_tests/core_math_unit_tests.json	comparison marks paper metric unavailable; formula/API metric contracts are tested	trained controller simulation evaluation logs	True
fig5d_tsne_latent_transition	reproduction/paper/source/root.tex:231; reproduction/paper/source/tex/results.tex:44	t-SNE latent space illustrates walking-to-running transition.	Figure 5D t-SNE	debug_latent_probe_only	res/level_c/vae_latent_probe/level_c_vae_latent_probe.json	VAE latent math/probe only, no trained embedding	trained VAE encoder; latent samples; t-SNE embedding data	True
fig5e_real_walk_to_run_transition	reproduction/paper/source/root.tex:232; reproduction/paper/source/tex/results.tex:44	Real-world walking-to-running transition conditioned on velocity command.	Figure 5E real-world transition	requires_real_robot	res/blocked_gates/blocked_gate_audit.json	hardware gate	Unitree G1 hardware execution log/video; real robot state/action telemetry	True
