kind	paper_item	label	source	coverage_status	status_bucket	evidence	evidence_exists	notes	caption_excerpt	graphics
figure	Figure 1	fig:teaser	reproduction/paper/source/root.tex:191	paper/source indexed	indexed	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/figures/Fig1.pdf	True	Framework overview figure; no separate numeric reproduction target.	\textbf{Overview of the proposed versatile humanoid control framework.} (\textbf{A}) Scalable and robust learning from human motions with agile, human-like behaviors via motion tracking. (\textbf{B}) Versatile control over unseen downstream tasks with diverse learned motor skills via guided diffusion.	figures/Fig1.pdf
figure	Figure 2	fig:more_motion	reproduction/paper/source/root.tex:198	blocked/no released panel data	blocked_or_unreproduced	/mnt/infini-data/test/BeyondMimic/res/blocked_gates/blocked_gate_audit.json	True	Real-hardware motion-gallery claim requires videos/logs/hardware evidence not released locally.	\textbf{Diverse motion tracking policies deployed on a real humanoid robot.	figures/Fig2.pdf
figure	Figure 3	fig:agile	reproduction/paper/source/root.tex:206	partial released-data reproduced	partial	/mnt/infini-data/test/BeyondMimic/res/released_figures/imu_orientation_accel_angular_velocity/imu_orientation_accel_angular_velocity.pdf	True	Panel B IMU curves reproduced from released data; panel A visual forest demonstration is not regenerated.	\textbf{Human-level Agility exhibited in a highly dynamic acrobatic motion.} (\textbf{A}) Real-world forest demonstration showing one continuous motion including: \(180^\circ\) side flip (aerial cartwheel), two consecutive \(180^\circ\) side spin kicks, and a \(360^\circ\) flip kick. (\textbf{B}) Robot's orientation, linear acceleration, and angular velocity, illustrating highly dynamic behavior; red, blue, and purple shaded intervals denote the \(180^\circ\) side flip, the two \(180^\circ\) sid	figures/Fig3.pdf
figure	Figure 4	fig:natural	reproduction/paper/source/root.tex:215	partial released-data reproduced	partial	/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_human_reference/grf_walk_human_reference.pdf	True	Panel C GRF components reproduced from released data; video/user-study/interference panels are not reproduced from local data.	"\textbf{Human-like naturalness in walking and running motion.} (\textbf{A}) Natural running on a sports field. (\textbf{B}) Natural walking on a sports field. (\textbf{C}) Comparison of weight-normalized GRF profiles for human vs.\ humanoid during walking and running, showing comparable shapes, contact forces, and timing. (\textbf{D}) Example video clips used in the user study. (\textbf{E}) User-study results for the question ``Which looks more human-like and natural?"", comparing our policies vs"	figures/Fig4.pdf
figure	Figure 5	fig:versatile_loco	reproduction/paper/source/root.tex:223	blocked; debug mechanisms audited	blocked_or_unreproduced	/mnt/infini-data/test/BeyondMimic/res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	Paper-level reproduction blocked by missing trained VAE/diffusion checkpoints and closed-loop task logs.	\textbf{Command-conditioned locomotion via guided diffusion.} (\textbf{A}) Visualization of diffusion process under joystick control. Starting from Gaussian noise, the distribution progressively converges to optimize for a right-turn command. (\textbf{B}) Waypoint navigation. From multiple start points, the robot reaches the goal using forward or backward walking. (\textbf{C}) Joystick teleoperation. The robot tracks the joystick velocity command. Even under an impulsive disturbance, it recovers	figures/Fig5.pdf
figure	Figure 6	fig:versatile_inpaint_sdf	reproduction/paper/source/root.tex:237	blocked; debug mechanisms audited	blocked_or_unreproduced	/mnt/infini-data/test/BeyondMimic/res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	Paper-level reproduction blocked by missing inpainting/SDF rollout data, checkpoints, and real/mocap evidence.	\textbf{Task transition and composition.} (\textbf{A}) Motion inpainting with future keyframes. (i) Desired future keyframes with $0.2$~s intervals. (ii) Starting from walking, the robot smoothly completed the cartwheel by inpainting both the transition and the intermediate motion between the keyframes. (iii) Long-horizon execution with four keyframed-conditioned cartwheels interwoven with velocity-conditioned walking and running, achieving smooth multi-round transitions between different tasks 	figures/Fig6.pdf
figure	Figure 7	fig:pipline	reproduction/paper/source/root.tex:246	paper/source indexed; component evidence audited	partial	/mnt/infini-data/test/BeyondMimic/reproduction/docs/paper_parameter_map.md	True	Conceptual pipeline; component coverage is split across tracking audits and Level C debug probes.	\textbf{Overview of the framework.} (\textbf{A}) Scalable learning of diverse human motions via motion tracking. (i) The target motion is re-anchored to the current pose to allow drift and recovery, which is critical for successful sim-to-real transfer. (ii) Diverse motions are tracked with RL using a single recipe and shared hyperparameters, showing scalability across a broad spectrum of skills. (\textbf{B}) Versatile control via latent state-action diffusion model. (i) Stage 1: A VAE is traine	figures/Fig7.pdf
figure	Figure 8	fig:ablation	reproduction/paper/source/root.tex:258	partial released-data reproduced	partial	/mnt/infini-data/test/BeyondMimic/res/released_figures/released_figure_summary.tsv	True	Released ablation/adaptive-sampling panels reproduced or processed; source/code adaptive look-back discrepancy remains.	\textbf{Ablation studies.} (\textbf{A}) Motion tracking error comparison ablating orientation representation, history length, armature, and delay, showing that continuous orientations, no observation history, correct armature settings, and minimal deployment delay are critical for sim-to-real transfer in our setup. (\textbf{B}) Training performance ablating adaptive sampling (AS). (i) Iterations required to solve the motion; without AS, difficult segments remain unsolved even after 30k iteration	figures/Fig8.pdf
figure	Figure S1	fig:tracking_pipeline	reproduction/paper/source/root.tex:609	official-code audited	strong	/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.json	True	Actor/critic observations, target bodies, rewards, PPO, and assets audited; architecture PDF itself is not regenerated.	\textbf{Motion Tracking Overview.} Our actor-critic architecture for motion tracking. The actor network takes observations: motion phase $\boldsymbol{\psi}$, anchor pose error $\mathbf{e}_{\text{anchor}}$, IMU twist $\mathcal{V}_{\text{imu}}$, relative joint positions $\boldsymbol{\theta} - \boldsymbol{\theta}^{0}$, joint velocities $\dot{\boldsymbol{\theta}}$, and previous action $\mathbf{a}_{\text{last}}$. The critic receives the same observations in addition to the per-body relative poses w.r	figures/sup_fig1_tracking_pipeline.pdf
figure	Figure S2	fig:extra-ablation	reproduction/paper/source/root.tex:616	released-data reproduced	strong	/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_pd_gain/ablation_pd_gain_global.pdf	True	PD gain sensitivity reproduced from released data.	\textbf{Extra Ablation On PD Gains} Ablating on PD Gains, We find that following our heuristics formula with a moderate natural frequency yields the best global tracking performance and surpasses the hand-tuned gains used in prior work~\cite{he2025asap}. Although increasing the natural frequency can further reduce local tracking error, it results in significant torque overshoots that produces audible jitter and can stress the hardware.	figures/sup_fig2_w.png
