requirement_id	line_range	requirement	status	evidence	evidence_exists	verification	remaining_gap
fixed_root_paths	goal.md:29-107	Use fixed ROOT/DOWNLOAD_ROOT and keep generated artifacts under the project root.	complete	reproduction/docs/completion_matrix.md; res/master_audit/reproduction_master_audit.json	True	Master/completion evidence uses /mnt/infini-data/test/BeyondMimic paths.	
no_real_robot_without_approval	goal.md:97-105,800-812	Do not connect to or claim Unitree G1 hardware reproduction without hardware/safety setup.	out_of_scope	res/blocked_gates/blocked_gate_audit.json; reproduction/docs/known_limitations.md	True	Real robot gate is out_of_scope; no real launch is executed.	
download_inventory	goal.md:45-67,156-179	Recursively inventory download contents before further downloads.	complete	reproduction/docs/local_inventory.tsv; reproduction/docs/source_ledger.md	True	Local inventory and source ledger exist.	
download_read_only_policy	goal.md:198-219	Keep raw download area read-only and use work copies/patches/wrappers.	complete	reproduction/third_party/official; reproduction/docs/source_ledger.md	True	Official work copies live under reproduction/third_party/official.	
evidence_priority_and_discrepancies	goal.md:221-241	Respect evidence priority and record paper/code conflicts.	complete	reproduction/docs/discrepancy_report.md; res/tracking/adaptive_sampling_discrepancy_audit/adaptive_sampling_discrepancy_audit.json	True	Adaptive-sampling paper/code look-back discrepancy is machine-audited.	
system_audit	goal.md:266-304	Run and save system/GPU/disk audit.	complete	logs/setup/system_audit.txt	True	System audit log exists.	
project_local_envs_and_locks	goal.md:306-451,1791-1803	Create project-local envs and export environment locks.	partial	envs/bm_analysis/environment.yml; envs/bm_analysis/pip-freeze.txt; envs/bm_diffusion/environment.yml; envs/bm_diffusion/pip-freeze.txt; envs/bm_tracking/environment.yml; envs/bm_tracking/pip-freeze.txt; reproduction/docs/environment.md; res/config/resolved_reproduction_config.json; res/setup/bm_diffusion_env_audit/bm_diffusion_env_audit.json	True	bm_analysis, bm_tracking, bm_diffusion, Isaac Sim locks, smoke evidence, and unified resolved config manifest exist.	Full IsaacLab/Kit and training smoke gates remain blocked/incomplete.
smoke_tests_before_training	goal.md:453-504,1350-1356	Pass smoke tests before full training.	partial	res/blocked_gates/blocked_gate_audit.json; res/failed_runs/failed_run_audit/failed_run_audit.json; logs/setup/whole_body_tracking_nokit_smoke.log	True	Analysis, PyTorch, Isaac import, non-Kit tracking smokes, and preserved failed Kit smoke evidence exist.	Full IsaacLab/Kit smoke is blocked by inotify limits.
gpu_resource_management	goal.md:508-649	Use GPUs responsibly, avoid fake utilization, monitor long runs.	partial	logs/setup/system_audit.txt; logs/gpu/gpu_metrics.csv; res/setup/gpu_resource_audit/gpu_resource_audit.json; res/blocked_gates/blocked_gate_audit.json	True	System/GPU inventory plus goal-schema gpu_metrics.csv snapshot exist; audit records no artificial load or power/clock changes.	No full training run proves sustained 18-22 GiB utilization, 90% GPU-Util, or throughput metrics.
project_structure	goal.md:652-718	Create and maintain required project structure.	complete	reproduction/src/beyondmimic_reimpl; reproduction/configs; res/final_report; res/artifact_manifest/artifact_manifest.json	True	Required source/config/result directory skeleton exists.	
level_a_released_figures	goal.md:721-745,1358-1380	Reproduce released-data figures with processed CSV and PDF/SVG/PNG outputs.	complete	res/released_figures/released_figure_summary.tsv; res/released_panel_mapping_audit/released_panel_mapping_audit.json	True	Released-data panel mapping passes and 13 figure groups are summarized.	
level_b_motion_preprocessing_replay_ppo	goal.md:747-775,1382-1429	Run official-code motion preprocessing, replay, PPO tracking, evaluation, ONNX export, and sim-to-sim.	blocked	res/tracking/motion_preprocessing_contract_audit/motion_preprocessing_contract_audit.json; res/tracking/onnx_export_contract_audit/tracking_onnx_export_contract_audit.json; res/blocked_gates/blocked_gate_audit.json	True	Static/source contracts are audited.	Live Kit execution and ROS 2 Jazzy/Noble sim-to-sim remain blocked.
level_c_official_artifact_absence	goal.md:776-799,860-882	If official VAE/diffusion code is absent, mark reimplementation boundaries and avoid hidden proxies.	complete	res/level_c/official_artifact_audit/level_c_official_artifact_audit.json	True	Official artifact audit found no official BeyondMimic VAE/diffusion code/checkpoint/engine.	
hard_constraints_no_fabrication	goal.md:816-919	Do not fake metrics, overclaim proxies, delete failures, or tune to paper numbers.	complete	reproduction/docs/unresolved_details.md; res/final_report/final_reproduction_report.json	True	Final/unresolved reports keep debug-only, blocked, and not-reproduced boundaries explicit.	
tracking_paper_values	goal.md:927-1147	Audit motion tracking frequency, networks, PPO, targets, rewards, observations, action, randomization, termination, adaptive sampling.	partial	res/tracking/smoke_config_audit/tracking_config_audit.json; res/paper_table_values/paper_table_value_audit.json; res/tracking/adaptive_sampling_discrepancy_audit/adaptive_sampling_discrepancy_audit.json	True	Paper/code table values and adaptive-sampling discrepancy are audited.	Live rollout/evaluation metrics are blocked.
conditional_vae_dagger	goal.md:1148-1190,1431-1447	Implement conditional VAE and true DAgger rollout/teacher query.	partial	res/level_c/vae_contract_audit/level_c_vae_contract_audit.json; res/level_c/vae_accumulation_probe/level_c_vae_accumulation_probe.json; res/level_c/vae_latent_probe/level_c_vae_latent_probe.json	True	VAE architecture/loss/latent/debug accumulation are audited.	True DAgger rollout, trained checkpoint, and closed-loop VAE evaluation are missing.
state_latent_dataset	goal.md:1191-1231,1448-1467	Build state-latent trajectory dataset with OU perturbation, rejection, symmetry, provenance, and split.	partial	res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json; res/level_c/rollout_rejection_manifest_probe/level_c_rollout_rejection_manifest_probe.json; res/level_c/small_dataset_split_manifest/small_dataset_split_manifest_summary.json	True	Debug fixtures/manifests cover schema, OU, 2.5s/5s windows, and split leakage checks.	No trained VAE rollout latents or live accept/reject decisions.
state_representation_and_emphasis	goal.md:1232-1250	Implement hybrid yaw-centric state representation, emphasis projection c=6, and pseudoinverse inverse transform.	partial	res/level_c/state_representation_source_audit/level_c_state_representation_source_audit.json; res/level_c/emphasis_projection_audit/level_c_emphasis_projection_audit.json; res/level_c/trajectory_inverse_transform_audit/level_c_trajectory_inverse_transform_audit.json	True	Formula-level representation, emphasis, and inverse-transform audits pass on debug artifacts.	No paper trainable rollout dataset/checkpoint uses this end-to-end.
diffusion_transformer_training	goal.md:1251-1290,1468-1487	Implement/train Transformer denoiser with paper architecture, clean target, independent timesteps, EMA, and 25 Hz controller.	partial	res/level_c/paper_state_transformer_arch_probe/level_c_paper_state_transformer_arch_probe.json; res/level_c/transformer_parameter_count_audit/level_c_transformer_parameter_count_audit.json; res/level_c/training_schedule_probe/level_c_training_schedule_probe.json; res/level_c/timestep_mask_coverage_audit/level_c_timestep_mask_coverage_audit.json	True	Paper-sized forward/backward, parameter-count, schedule, and timestep/mask probes exist.	No full diffusion training, checkpoint, or paper rollout evaluation.
