component	paper_contract	local_status	training_gate	impact_on_current_bad_videos	required_fix_before_success_claim	evidence	notes
Stage 1 observation and normalized PD action	o=[psi,e_anchor,V_imu,theta-theta0,theta_dot,a_last]; theta_sp=theta0+alpha*a.	aligned_to_official_stage1_code	pass_for_formula_audit	This part is unlikely to be the source of the generic leaning-pose failure if official obs order and exported normalizer are preserved.	Keep using official observation order/export metadata. Do not hand-build a 160-D MuJoCo obs without metadata validation.	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:66 | /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:78 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:118 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:129 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/flat_env_cfg.py:14	
Stage 1 anchor-relative tracking transform	Non-anchor desired body pose is yaw-aligned, height-preserving, and translated under current anchor.	aligned_to_official_stage1_code	pass_for_formula_audit	A broken anchor transform would cause drifting/jumping references; official code implements the paper transform.	For MuJoCo replay/video, use the same anchor convention or label as diagnostic only.	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:376 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/commands.py:290 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/commands.py:291 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/commands.py:294	
Stage 1 reward formulation	Gaussian body pos/orientation/linear velocity/angular velocity rewards with std 0.3/0.4/1.0/3.14 plus action-rate, joint-limit, contact penalties.	aligned_to_official_stage1_code	pass_for_formula_audit	Weak teacher reward is more likely undertraining/data/asset/runtime quality than a different reward formula.	Use official rewards for next teacher; compare reward components and termination counts per checkpoint before downstream VAE.	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:642 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:212 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:227 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:232 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/rewards.py:32	
Stage 1 termination	Terminate when anchor or EE z-position error >0.25 m, or anchor orientation error >0.8 rad.	mostly_aligned_with_one_public_code_detail	pass_with_caution	High termination counts explain bad teacher rollouts and VAE collapse. The public code checks projected gravity for anchor orientation, not a full log-map norm.	Gate teacher checkpoints by done rate/episode length/motion-time continuity before collecting VAE data.	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:444 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:258 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:266 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/terminations.py:28	Public code detail should be reported instead of silently treated as exact supplementary-text implementation.
Stage 1 PD, action scale, and armature	kp=I*w^2, kd=2*I*zeta*w, w=10 Hz, zeta=2, alpha=0.25*tau_max/kp; dual ankles/waist use doubled armature.	aligned_to_official_stage1_code	pass_for_formula_audit	If MuJoCo PD uses different kp/kd/action scale/joint order, learned actions can look like leaning or tiny steps even with a good policy.	Before final MuJoCo videos, export or derive exact joint order, kp, kd, armature, default pose, and action scale from official metadata/checkpoint.	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:406 | /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:409 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py:12 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py:13 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py:184	
Stage 1 domain randomization	Friction/restitution, default joint offsets, torso COM, and velocity perturbations; text mentions larger ankle offset.	partial_public_code_difference	pass_with_caution	This is not the main reason the current videos are generic, but it matters for final paper-contract training.	Decide explicitly whether to follow public code exactly or patch ankle default offsets to the supplementary text, then document the choice.	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:415 | /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:420 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:163 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:175 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:180 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:190	
Stage 1 adaptive sampling and reset	Failure-rate bins, EMA alpha=0.001, uniform floor 0.1/S, non-causal kernel rho=0.8 over u={0,1,2}, reset to reference state with perturbations.	partial_public_code_difference	block_for_paper_exact_claim_only	Poor sampling can slow learning of hard segments such as leg lift/single-leg balance.	For hard single-leg training, either patch kernel size to 3 per paper or record that public code uses kernel size 1.	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:448 | /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:451 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/commands.py:371 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/commands.py:368 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/commands.py:268	
PPO hyperparameters	Actor/critic [512,256,128], ELU, 24 steps/env, 30000 iterations, lr 1e-3, clip 0.2, entropy 0.005, gamma 0.99, GAE 0.95, desired KL 0.01.	aligned_to_official_stage1_code	pass_for_formula_audit	Earlier short/low-memory candidates are not enough to learn hard motions; bad videos should not be read as final PPO failure.	Train only after formula gates pass; for full runs use checkpoint/eval gates, not last checkpoint by default.	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:780 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/agents/rsl_rl_ppo_cfg.py:7 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/agents/rsl_rl_ppo_cfg.py:8 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/agents/rsl_rl_ppo_cfg.py:14 | /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/agents/rsl_rl_ppo_cfg.py:25	
Old resource-adjusted VAE	Paper VAE encoder is E(psi,e_anchor); decoder is D(z,[g,V_imu,theta,theta_dot,a_last]); modified ELBO beta=0.01 with DAgger.	mismatch	block_training_chain	This is a direct mechanism for generic/averaged action outputs and leaning posture.	Do not use old resource-adjusted VAE for success videos. Use/retrain paper-contract VAE only on high-quality continuous teacher rollouts.	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:109 | /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:160 | /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_teacher_rollout_vae_training.py:100 | /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_teacher_rollout_vae_training.py:106	
New paper-contract VAE script	Formula-level split E(reference intent) and D(latent, proprioception), latent dim 32, hidden [2048,1024,512], lr 5e-4, beta 0.01.	formula_input_contract_repaired_but_data_gate_failed	block_downstream_until_teacher_quality_passes	Even a corrected VAE will reproduce a weak/reset-heavy teacher and can still lean instead of lifting the leg.	Collect continuous, low-done-rate teacher rollout data before retraining this VAE for videos.	/mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_contract_teacher_rollout_vae_training.py | /mnt/infini-data/test/BeyondMimic/res/level_c/paper_contract_teacher_rollout_vae_training/level_c_paper_contract_teacher_rollout_vae_training.json | source_teacher_done_rate_low_enough_for_downstream=False	
