category	item	status	all_listed_evidence_exists	evidence	remaining_gap	counts
environment	environment.yml	complete	True	envs/bm_analysis/environment.yml; envs/bm_tracking/environment.yml; envs/bm_diffusion/environment.yml	IsaacLab/Kit live smoke remains blocked separately.	{}
environment	requirements-lock.txt	complete	True	envs/bm_analysis/requirements-lock.txt; envs/bm_tracking/requirements-lock.txt; envs/bm_diffusion/requirements-lock.txt	Locks prove environment capture, not successful long training.	{}
environment	pip-freeze.txt	complete	True	envs/bm_analysis/pip-freeze.txt; envs/bm_tracking/pip-freeze.txt; envs/bm_diffusion/pip-freeze.txt	Full deployment stack remains blocked.	{}
environment	conda-list-explicit.txt	complete	True	envs/bm_analysis/conda-list-explicit.txt; envs/bm_tracking/conda-list-explicit.txt; envs/bm_diffusion/conda-list-explicit.txt	Environment export does not prove Isaac/ROS runtime gates.	{}
environment	docs/environment.md	complete	True	reproduction/docs/environment.md	None for document scope.	{}
code	official worktrees	complete_for_local_copies	True	reproduction/third_party/official/whole_body_tracking; reproduction/third_party/official/motion_tracking_controller; reproduction/third_party/official/IsaacLab-v2.1.0	Live execution of official worktrees remains blocked by Kit/inotify and ROS/OS gates.	{}
code	patches	partial	True	reproduction/patches; res/code/patch_inventory_audit/patch_inventory_audit.json; res/code/patch_snapshot_audit/patch_snapshot_audit.json; res/tracking/motion_preprocessing_contract_audit/motion_preprocessing_contract_audit.json	Patch inventory and tracked-diff snapshots are audited, but no explicit full training/deployment patch series exists.	{}
code	VAE	partial	True	reproduction/src/beyondmimic_reimpl/vae/latent.py; res/level_c/vae_contract_audit/level_c_vae_contract_audit.json	No trained VAE checkpoint or true DAgger rollout.	{}
code	DAgger	partial	True	reproduction/src/beyondmimic_reimpl/dagger; res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json	Protocol/debug evidence only; true teacher rollouts missing.	{}
code	trajectory dataset	partial	True	reproduction/src/beyondmimic_reimpl/trajectory; res/level_c/paper_state_windows/level_c_paper_state_windows.json	Paper-scale state-latent rollout dataset with learned VAE latents missing.	{}
code	diffusion	partial	True	reproduction/src/beyondmimic_reimpl/diffusion/schedules.py; res/level_c/diffusion_equation_audit/level_c_diffusion_equation_audit.json	No trained diffusion Transformer checkpoint.	{}
code	guidance	partial	True	reproduction/src/beyondmimic_reimpl/guidance/costs.py; res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json; res/level_c/guidance_debug_visualization/level_c_guidance_debug_visualization.json	Guided rollout and required paper success/failure videos remain missing; debug formula visualization exists.	{}
code	evaluation	partial	True	reproduction/src/beyondmimic_reimpl/evaluation; res/comparison/paper_vs_reproduction.json	Paper-level closed-loop evaluation not complete.	{}
code	plotting	complete_for_released_data	True	reproduction/scripts/reproduce_released_figures.py; res/released_figures/released_figure_summary.tsv	Plotting covers released-data figures, not Fig. 5/Fig. 6.	{}
code	tests	complete_for_core_math	True	reproduction/tests/test_core_math.py; res/tests/core_math_unit_tests/core_math_unit_tests.json; res/tests/core_test_coverage_audit/core_test_coverage_audit.json; reproduction/tests/test_reimpl_package_api.py; res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json	Formula, package API, and core checklist coverage tests exist; no end-to-end Isaac/ROS/TensorRT test suite.	{}
experiment	raw logs	partial	True	res/run_log_config_catalog/run_log_config_catalog.json; logs/gpu/gpu_metrics.csv; logs/data/plot_adaptive_sampling_released.log	Run/log/config catalog indexes setup/data/debug/failure logs, but long training stdout/stderr logs are absent.	{}
