goal_section	line_range	requirement	status	evidence	evidence_exists	notes
2 Fixed runtime context	goal.md:29-107	Use fixed project roots, keep generated files under /mnt/infini-data/test/BeyondMimic, do not assume real robot.	covered	/mnt/infini-data/test/BeyondMimic/reproduction/docs/completion_matrix.md; /mnt/infini-data/test/BeyondMimic/res/blocked_gates/blocked_gate_audit.json; /mnt/infini-data/test/BeyondMimic/reproduction/docs/known_limitations.md	True	Generated artifacts are under project root; Unitree G1 hardware is out of scope and explicitly blocked.
3 Mission	goal.md:108-149	Reproduce released figures, official tracking, VAE/DAgger, state-latent dataset, diffusion, guidance, ablations, comparison, and final report.	partial	/mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json; /mnt/infini-data/test/BeyondMimic/res/master_audit/reproduction_master_audit.json; /mnt/infini-data/test/BeyondMimic/reproduction/docs/completion_matrix.md	True	Level A complete for released-data scope; Level B/C paper-level training, deployment, and Fig.5/Fig.6 remain partial/blocked.
4 Operating principles	goal.md:150-261	Local-first inventory, read-only download area, evidence priority, discrepancy reporting, no hidden proxy claims.	covered	/mnt/infini-data/test/BeyondMimic/reproduction/docs/local_inventory.tsv; /mnt/infini-data/test/BeyondMimic/reproduction/docs/source_ledger.md; /mnt/infini-data/test/BeyondMimic/reproduction/docs/discrepancy_report.md; /mnt/infini-data/test/BeyondMimic/res/level_c/official_artifact_audit/level_c_official_artifact_audit.json	True	Official/reference artifact boundaries and paper/source/code discrepancies are recorded.
5 Environment-first	goal.md:262-507	System audit, project-local envs/caches, dependency locks, smoke tests before training.	partial	/mnt/infini-data/test/BeyondMimic/logs/setup/system_audit.txt; /mnt/infini-data/test/BeyondMimic/reproduction/docs/environment.md; /mnt/infini-data/test/BeyondMimic/res/blocked_gates/blocked_gate_audit.json; /mnt/infini-data/test/BeyondMimic/res/master_audit/reproduction_master_audit.json	True	Analysis/tracking Python smoke and non-Kit audits pass; full IsaacLab/Kit smoke is blocked by inotify.
6 GPU resource management	goal.md:508-651	Use GPUs responsibly, monitor training, avoid fake utilization and respect smoke gates.	partial	/mnt/infini-data/test/BeyondMimic/logs/setup/system_audit.txt; /mnt/infini-data/test/BeyondMimic/res/blocked_gates/blocked_gate_audit.json	True	GPU/system audit exists and no BeyondMimic long training process is running; no full training/GPU metrics because smoke gates are blocked.
7 Project structure	goal.md:652-720	Maintain project structure under download/envs/cache/tmp/reproduction/logs/res.	covered	/mnt/infini-data/test/BeyondMimic/reproduction/docs/completion_matrix.md; /mnt/infini-data/test/BeyondMimic/reproduction/README.md	True	Current generated work is under project root; some future directories remain empty because corresponding training stages are blocked.
8 Level A	goal.md:721-746	Released-data reproduction for IMU, errors, ablations, adaptive sampling, GRF.	covered	/mnt/infini-data/test/BeyondMimic/res/released_figures/released_figure_summary.tsv; /mnt/infini-data/test/BeyondMimic/reproduction/docs/paper_panel_map.tsv	True	Released-data scope is complete with processed data and PDF/SVG/PNG outputs.
8 Level B	goal.md:747-775	Official-code motion preprocessing, replay, PPO tracking, adaptive sampling, evaluation, ONNX export, MuJoCo sim-to-sim.	blocked	/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.json; /mnt/infini-data/test/BeyondMimic/res/tracking/motion_tracking_controller_audit/motion_tracking_controller_audit.json; /mnt/infini-data/test/BeyondMimic/res/blocked_gates/blocked_gate_audit.json	True	Static/source audits pass; live Kit preprocessing/replay/PPO/evaluation blocked by inotify; ROS 2 Jazzy/Noble unavailable.
8 Level C	goal.md:776-799	Paper-faithful VAE/DAgger/state-latent/diffusion/guidance reimplementation if official code is absent.	partial	/mnt/infini-data/test/BeyondMimic/reproduction/docs/level_c_diffusion_plan.md; /mnt/infini-data/test/BeyondMimic/res/level_c/official_artifact_audit/level_c_official_artifact_audit.json; /mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json	True	Paper parameters and debug mechanics are implemented/audited; true DAgger, trainable state-latent data, checkpoints, and rollout metrics remain missing.
8 Level D	goal.md:800-815	Do not claim real robot reproduction without hardware and safety setup.	out_of_scope	/mnt/infini-data/test/BeyondMimic/res/blocked_gates/blocked_gate_audit.json; /mnt/infini-data/test/BeyondMimic/reproduction/docs/known_limitations.md	True	No Unitree G1 hardware is available; real launch is not executed.
