component	status	severity	paper_contract	official_code_value	local_value	required_action	evidence
PD natural frequency and damping ratio	pass	info	S1: omega = 10 Hz, damping ratio zeta = 2	NATURAL_FREQ=10.0Hz*2pi; DAMPING_RATIO=2.0	2.0	Keep this unchanged for any future teacher training.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py
Action scale formula	pass	info	theta_sp = theta0 + alpha*a; alpha = 0.25*tau_max/kp	G1_ACTION_SCALE[n] = 0.25 * effort_limit_sim / stiffness	G1_ACTION_SCALE[joint] = 0.25 * effort_limit_sim[joint] / stiffness[joint]	MuJoCo adapter must use this exact exported scale/joint order, not hand-set scale.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py; /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex
G1 armature constants	pass	info	S1/Table joint armature: reflected rotor inertia; ankle/waist pitch/roll doubled	ARMATURE_5020/7520_14/7520_22/4010 present; feet and waist use 2.0 multiplier	"{""ARMATURE_4010"": 0.00425, ""ARMATURE_5020"": 0.003609725, ""ARMATURE_7520_14"": 0.01017752, ""ARMATURE_7520_22"": 0.025101925}"	Do not zero or tune armature for stability; paper says wrong armature degrades tracking.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py; /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex
Tracking reward formula and weights	pass	info	Gaussian exp(-MSE/std^2), body terms weight 1, anchor optional 0.5, action/contact -0.1, joint limit -10	Official env/rewards.py match exp formula and weights	paper-contract wrapper imports official G1FlatEnvCfg; no reward override detected	If teacher remains weak, inspect motion/termination/curriculum before changing reward weights.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py; /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/rewards.py
Termination contract	pass	info	Terminate on anchor/end-effector z error > 0.25m or anchor orientation > 0.8	Official uses z-only anchor_pos, z-only ankle/wrist ee_body_pos, anchor_ori threshold 0.8	paper/multisource wrappers record ee_body_pos_threshold_patch_applied=False	Do not relax endpoint termination and call it paper-level; use relaxations only as diagnostics.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py; /mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/terminations.py; /mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_paper_contract_ppo_training_run/tracking_g1_official_importer_export_paper_contract_ppo_training_run.json
Default joint offset randomization	pass	info	S1 prose says most joints U[-0.01,0.01], ankle joints U[-0.1,0.1]; table only lists U[-0.01,0.01]	Official public code randomizes all joints U[-0.01,0.01]; no ankle-special branch found	local training inherits official public code; no ankle-special patch	Record as paper-vs-public-code ambiguity. If trying to improve ankle/single-leg stability, run a clearly labeled ankle-offset ablation, not an unmarked paper-contract run.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py; /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex
Adaptive sampling look-back kernel	pass_with_caution	medium	S1 says non-causal exponential kernel rho=0.8, u in {0,1,2}, K=3	Official MotionCommandCfg adaptive_kernel_size=1.0, adaptive_lambda=0.8, alpha=0.001, uniform=0.1	local training inherits official public code; no K=3 patch	Likely important for hard segments. Add explicit K=3 ablation or patch only in a named non-official run.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/commands.py; /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex
Domain randomization	pass_with_caution	medium	friction/restitution, joint offsets, torso COM, root velocity push	Official env cfg matches friction/rest/COM/push ranges; joint offset caveat above	local training uses official env cfg with debug_vis disabled only	Keep compact DR; do not add delay randomization unless labeled as ablation.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py; /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex
Actor/critic observation contract	pass	info	actor: psi, anchor error, IMU twist, theta-theta0, theta_dot, a_last; no temporal history	Official policy obs terms present; critic adds body_pos/body_ori; observed run dims 160/286	paper_contract num_obs=160; critic=286	MuJoCo PPO adapter must recreate this exact 160-dim order and normalization.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py; /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex; /mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_paper_contract_ppo_training_run/tracking_g1_official_importer_export_paper_contract_ppo_training_run.json
RSL-RL PPO hyperparameters	pass	info	Official whole_body_tracking G1FlatPPORunnerCfg, 30k iterations, save every 500	Official PPO cfg matches expected values	paper_contract max_iter=30000, save=500	Checkpoint selector should choose best eval checkpoint, not last.	/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/agents/rsl_rl_ppo_cfg.py; /mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_paper_contract_ppo_training_run/tracking_g1_official_importer_export_paper_contract_ppo_training_run.json
Robot asset physical contract	pass_with_caution	medium	Unitree G1 29 DoF, 40 links/bodies, inertial/mesh/contact compatible with official tracking	physical asset audit status=ok_with_physical_contract_ready_for_converter_scaffold, skeleton ok=True, physical_fidelity_complete=False	training swaps official URDF spawn for local official-importer-export USD spawn	This is a local asset adaptation. Keep claiming local public-resource training, not official checkpoint.	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_urdf_physical_asset_contract_audit/tracking_g1_urdf_physical_asset_contract_audit.json; /mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_paper_contract_ppo_training_run/tracking_g1_official_importer_export_paper_contract_ppo_training_run.json
Local training metadata fidelity	pass_with_caution	medium	Training summaries must truthfully distinguish official-code parameters from local asset/data adaptations	Paper-contract 4/7 rank metrics correctly mark official importer USD; 5/6 inherited base flag says resource_adjusted_usd=True	"{""paper_uses_official_usd"": true, ""paper_uses_resource_adjusted_usd"": false, ""multi_uses_resource_adjusted_usd"": true}"	Patch multisource summary metadata in the next cleanup so report readers are not misled.	/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_paper_contract_ppo_training_run/tracking_g1_official_importer_export_paper_contract_ppo_training_run.json; /mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_training_run/tracking_stage1_multisource_paper_contract_ppo_training_run.json; /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_stage1_multisource_paper_contract_ppo_training_run.py
Teacher quality gate before VAE/diffusion	fail_or_unverified	high	Only low-done, low-error, continuous teacher rollouts should feed VAE/diffusion	selector status=blocked_no_downstream_ready_teacher_checkpoint; ready=0; usable=0	No downstream-ready teacher checkpoint exists after current sweeps	Do not start final VAE/diffusion training or success videos until this gate passes.	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_teacher_checkpoint_quality_selector/stage1_teacher_checkpoint_quality_selector.json
Diagnostic termination patch guard	pass_with_caution	medium	Endpoint threshold changes are diagnostics only unless explicitly named	Base worker supports BM_EE_BODY_POS_TRAIN_THRESHOLD environment patch	current paper-contract rank metrics report ee_body_pos_threshold_patch_applied=False	Keep the env var unset for paper-contract training; if used, write a separate ablation row.	/mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_g1_resource_adjusted_ppo_training_run.py; /mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_paper_contract_ppo_training_run/tracking_g1_official_importer_export_paper_contract_ppo_training_run.json
