name	path	exists	passed	details
local_inventory	/mnt/infini-data/test/BeyondMimic/reproduction/docs/local_inventory.tsv	True	True	size=135911
released_figure_summary	/mnt/infini-data/test/BeyondMimic/res/released_figures/released_figure_summary.tsv	True	True	size=9495
paper_panel_map	/mnt/infini-data/test/BeyondMimic/reproduction/docs/paper_panel_map.tsv	True	True	size=6650
current_project_reproduction_state_20260621	/mnt/infini-data/test/BeyondMimic/reproduction/docs/current_project_reproduction_state_20260621.md	True	True	size=19619
current_project_reproduction_state_20260622	/mnt/infini-data/test/BeyondMimic/reproduction/docs/current_project_reproduction_state_20260622.md	True	True	size=21959
current_project_reproduction_summary_20260622	/mnt/infini-data/test/BeyondMimic/reproduction/docs/current_project_reproduction_summary_20260622.md	True	True	size=21017
progress_20260621_tracking_quality_and_storage	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260621_224331_tracking_quality_and_storage.md	True	True	size=4536
progress_20260621_project_state_baseline	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260621_225601_project_state_baseline.md	True	True	size=6764
progress_20260621_reading_and_project_reports	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260621_231003_reading_and_project_reports.md	True	True	size=5418
progress_20260621_course_reports_storage_refresh	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260621_235919_course_reports_storage_refresh.md	True	True	size=5780
progress_20260622_reset_command_warmup_live_probe	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_002628_reset_command_warmup_live_probe.md	True	True	size=5026
progress_20260622_course_report_refresh	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_004850_course_report_refresh.md	True	True	size=8894
progress_20260622_robot_order_warmup_project_state	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_011110_robot_order_warmup_project_state.md	True	True	size=8653
progress_20260622_seed_matched_warmup_phase	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_013910_seed_matched_warmup_phase.md	True	True	size=7931
progress_20260622_storage_target_refresh_no_advance	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_020859_storage_target_refresh_no_advance.md	True	True	size=6563
progress_20260622_reset_state_action_distribution	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_024557_reset_state_action_distribution.md	True	True	size=3258
progress_20260622_current_project_summary	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_032557_current_project_summary.md	True	True	size=5945
progress_20260622_reset_state_action_consistency_live_probe	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_035429_reset_state_action_consistency_live_probe.md	True	True	size=8120
progress_20260622_course_reports_current_summary	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_041426_course_reports_current_summary.md	True	True	size=7035
progress_20260622_deterministic_reset_live_gate	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_044202_deterministic_reset_live_gate.md	True	True	size=7408
progress_20260622_course_reports_and_storage_cleanup	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_050127_course_reports_and_storage_cleanup.md	True	True	size=5825
progress_20260622_report_audit_refresh	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_052038_report_audit_refresh.md	True	True	size=3320
progress_20260622_phase_alignment_live_probe	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_062500_phase_alignment_live_probe.md	True	True	size=6726
progress_20260622_ee_termination_ablation	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_060023_ee_termination_ablation.md	True	True	size=4806
progress_20260622_endpoint_group_reports	/mnt/infini-data/test/BeyondMimic/reproduction/docs/progress/20260622_062852_endpoint_group_reports.md	True	True	size=5049
