section	metric	status	evidence	all_evidence_exists	detail
motion_tracking	local position error	released_data	res/tables/released_data_metrics_summary/released_tracking_ablation_metrics.csv;res/tables/released_data_metrics_summary/released_data_metrics_summary.json;res/tables/released_data_statistical_audit/released_ablation_effect_sizes.csv	True	Released-data numeric/statistical summaries report local tracking position-error rows and effect-size style comparisons; no live tracking eval run.
motion_tracking	local orientation error	released_data	res/tables/released_data_metrics_summary/released_tracking_ablation_metrics.csv;res/tables/released_data_metrics_summary/released_data_metrics_summary.json;res/tables/released_data_statistical_audit/released_ablation_effect_sizes.csv	True	Released-data numeric/statistical summaries report local tracking orientation-error rows and effect-size style comparisons; no live rollout metric.
motion_tracking	local linear velocity error	released_data	res/tables/released_data_metrics_summary/released_tracking_ablation_metrics.csv;res/tables/released_data_metrics_summary/released_data_metrics_summary.json;res/tables/released_data_statistical_audit/released_ablation_effect_sizes.csv	True	Released-data numeric/statistical summaries report local linear-velocity tracking-error rows and effect-size style comparisons; no live rollout metric.
motion_tracking	local angular velocity error	released_data	res/tables/released_data_metrics_summary/released_tracking_ablation_metrics.csv;res/tables/released_data_metrics_summary/released_data_metrics_summary.json;res/tables/released_data_statistical_audit/released_ablation_effect_sizes.csv	True	Released-data numeric/statistical summaries report local angular-velocity tracking-error rows and effect-size style comparisons; no live rollout metric.
motion_tracking	global position error	released_data	res/tables/released_data_metrics_summary/released_tracking_ablation_metrics.csv;res/tables/released_data_metrics_summary/released_data_metrics_summary.json;res/tables/released_data_statistical_audit/released_ablation_effect_sizes.csv	True	Released-data numeric/statistical summaries report global position-error rows and effect-size style comparisons.
motion_tracking	global yaw error	released_data	res/tables/released_data_metrics_summary/released_tracking_ablation_metrics.csv;res/tables/released_data_statistical_audit/released_ablation_effect_sizes.csv;res/released_figures/ablation_orientation_representation/ablation_orientation_representation_global.pdf	True	Released-data summary/statistical tables and global-error panels cover global orientation/yaw-related error; no live rollout metric.
motion_tracking	success rate	formula_api_only	res/paper_skill_success_table_audit/skill_success_table_data_audit.json;res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json;res/tests/core_math_unit_tests/core_math_unit_tests.json;res/blocked_gates/blocked_gate_audit.json	True	Skill-success table is source/data-audited and the success-rate formula API is tested, but local sim/real success execution is blocked.
motion_tracking	fall rate	formula_api_only	res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json;res/tests/core_math_unit_tests/core_math_unit_tests.json;res/blocked_gates/blocked_gate_audit.json	True	Fall-rate formula API is tested, but live Isaac/robot rollout termination statistics are missing.
motion_tracking	episode length	blocked_or_missing	res/run_management_audit/run_management_audit.json;res/blocked_gates/blocked_gate_audit.json	True	Run schema exists, but no completed tracking rollout episodes.
motion_tracking	iterations to convergence	blocked_or_missing	res/run_management_audit/run_management_audit.json;res/blocked_gates/blocked_gate_audit.json	True	No long PPO training run reached convergence.
adaptive_sampling	per-bin failure rate	debug_or_released	res/tracking/adaptive_sampling_discrepancy_audit/adaptive_sampling_discrepancy_audit.json;res/released_figures/adaptive_sampling/adaptive_sampling_probability_evolution_heatmap.pdf	True	Paper/code discrepancy and released heatmap evidence exist; no live rerun failure table.
adaptive_sampling	per-bin sampling probability	released_data	res/released_figures/adaptive_sampling/adaptive_sampling_probability_evolution_heatmap.pdf;res/comparison/paper_vs_reproduction.json	True	Released sampling probability evolution panel reproduced.
adaptive_sampling	per-bin resets	debug_or_released	res/tracking/adaptive_sampling_discrepancy_audit/adaptive_sampling_discrepancy_audit.json	True	Adaptive sampling audit covers bin distribution mechanics, not full live reset logs.
adaptive_sampling	iterations until success	blocked_or_missing	res/blocked_gates/blocked_gate_audit.json	True	Requires live training/evaluation progression.
adaptive_sampling	failed segments	debug_or_released	res/tracking/adaptive_sampling_discrepancy_audit/adaptive_sampling_discrepancy_audit.json;res/released_figures/adaptive_sampling/adaptive_sampling_w_iter_matrix.pdf	True	Released/adaptive failure-map evidence exists; no live rerun segment log.
adaptive_sampling	distribution evolution	released_data	res/released_figures/adaptive_sampling/adaptive_sampling_probability_evolution_heatmap.pdf	True	Released distribution-evolution panel reproduced.
vae	action MSE	public_data_checkpoint	res/level_c/lafan1_paper_arch_offline_metrics/level_c_lafan1_paper_arch_offline_metrics_audit.json;res/level_c/lafan1_paper_arch_vae_diffusion_training/lafan1_paper_arch_vae_diffusion_training.json	True	Full paper-architecture public-LAFAN1 checkpoint reports split-wise decoded-action MSE; no true DAgger rollout.
vae	KL divergence	public_data_checkpoint	res/level_c/lafan1_paper_arch_offline_metrics/level_c_lafan1_paper_arch_offline_metrics_audit.json	True	Full paper-architecture public-LAFAN1 checkpoint reports split-wise KL means.
vae	teacher-student discrepancy	public_data_checkpoint	res/level_c/lafan1_paper_arch_offline_metrics/level_c_lafan1_paper_arch_offline_metrics_audit.json;res/level_c/dagger_schema_audit/dagger_schema_audit.json	True	Full public-data checkpoint reports split-wise teacher-student MSE, but teacher is the local supervised teacher head rather than official true DAgger teacher rollouts.
vae	tracking error	formula_api_only	res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json;res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json;res/tests/core_math_unit_tests/core_math_unit_tests.json	True	Tracking-error formula API is tested, but trained VAE closed-loop tracking rollout is missing.
vae	closed-loop survival	blocked_or_missing	res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json;res/blocked_gates/blocked_gate_audit.json	True	Needs live VAE policy rollouts.
vae	fall rate	formula_api_only	res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json;res/tests/core_math_unit_tests/core_math_unit_tests.json;res/blocked_gates/blocked_gate_audit.json	True	Fall-rate formula API is tested, but closed-loop VAE termination statistics are missing.
vae	latent smoothness	public_data_checkpoint	res/level_c/lafan1_paper_arch_offline_metrics/level_c_lafan1_paper_arch_offline_metrics_audit.json;res/level_c/vae_latent_probe/level_c_vae_latent_probe.json	True	Full public-data checkpoint reports latent first/second-difference smoothness; interpolation remains debug-only.
vae	latent interpolation	debug_only	res/level_c/vae_latent_probe/level_c_vae_latent_probe.json	True	Three-seed latent interpolation endpoint and neighbor metrics exist.
diffusion_guidance	state reconstruction error	public_data_checkpoint	res/level_c/lafan1_paper_arch_offline_metrics/level_c_lafan1_paper_arch_offline_metrics_audit.json	True	Full public-data checkpoint reports split-wise projected-state reconstruction MSE; no closed-loop rollout metric.
diffusion_guidance	latent reconstruction error	public_data_checkpoint	res/level_c/lafan1_paper_arch_offline_metrics/level_c_lafan1_paper_arch_offline_metrics_audit.json	True	Full public-data checkpoint reports split-wise latent reconstruction MSE; no official VAE rollout latent dataset.
diffusion_guidance	trajectory reconstruction error	public_data_checkpoint	res/level_c/lafan1_paper_arch_offline_metrics/level_c_lafan1_paper_arch_offline_metrics_audit.json;res/level_c/lafan1_paper_arch_vae_diffusion_training/lafan1_paper_arch_vae_diffusion_training.json	True	Full public-data checkpoint reports split-wise tau trajectory reconstruction MSE; no closed-loop rollout metric.
diffusion_guidance	unconditional success	blocked_or_missing	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	Needs trained unguided policy rollout success logs.
diffusion_guidance	guided success	blocked_or_missing	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	Needs closed-loop guided task rollout success logs.
diffusion_guidance	velocity error	public_data_checkpoint	res/comparison/paper_vs_reproduction.json;res/tables/released_data_metrics_summary/released_tracking_ablation_metrics.csv;res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json;res/tests/core_math_unit_tests/core_math_unit_tests.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json	True	Paper 12.14/13.65 closed-loop velocity errors remain comparison-only/unreproduced, but the public LAFAN1 paper-architecture checkpoint now records joystick velocity-command primary metrics over validation+test windows in offline and reverse guidance sweeps.
diffusion_guidance	goal distance	public_data_checkpoint	res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json;res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json	True	Waypoint guidance formula/debug gradients are covered, and full-split public-data offline/reverse guidance records waypoint primary-metric and cost improvements over validation+test windows; no closed-loop navigation success rate is claimed.
diffusion_guidance	collision rate	blocked_or_missing	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	Needs SDF obstacle closed-loop rollout logs.
diffusion_guidance	fall rate	formula_api_only	res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json;res/tests/core_math_unit_tests/core_math_unit_tests.json;res/blocked_gates/blocked_gate_audit.json	True	Fall-rate formula API is tested, but live guided rollout termination statistics are missing.
diffusion_guidance	action smoothness	public_data_checkpoint	res/level_c/lafan1_paper_arch_offline_metrics/level_c_lafan1_paper_arch_offline_metrics_audit.json;res/level_c/diffusion_to_vae_action_smoothness_audit/level_c_diffusion_to_vae_action_smoothness_audit.json	True	Full public-data checkpoint reports decoded predicted action first/second-difference smoothness; not closed-loop action smoothness.
diffusion_guidance	trajectory smoothness	public_data_checkpoint	res/level_c/lafan1_paper_arch_offline_metrics/level_c_lafan1_paper_arch_offline_metrics_audit.json;res/level_c/smoothness_latency_audit/level_c_smoothness_latency_audit.json	True	Full public-data checkpoint reports predicted tau and latent first/second-difference smoothness; not rollout smoothness.
diffusion_guidance	inference latency	public_data_checkpoint	res/level_c/lafan1_paper_arch_onnx_latency/level_c_lafan1_paper_arch_onnx_latency_audit.json;res/level_c/deployment_protocol_audit/level_c_deployment_protocol_audit.json	True	Full public-data checkpoint has PyTorch CPU and ONNX ReferenceEvaluator latency; no TensorRT/asynchronous deployment benchmark.
diffusion_guidance	denoising latency	public_data_checkpoint	res/level_c/lafan1_paper_arch_onnx_latency/level_c_lafan1_paper_arch_onnx_latency_audit.json;res/level_c/deployment_protocol_audit/level_c_deployment_protocol_audit.json	True	Full public-data diffusion denoiser latency is measured on host CPU; no TensorRT or paper Mini PC deployment measurement.
