component	status	matches_paper	notes	evidence	detected_patterns
stage1_tracking_parameter_contract_gate	blocked_stage1_teacher_contract_has_required_followups	True	Stage-1 formula/parameter contract is now separately audited. The public/official code mostly matches paper contracts, but the current teacher quality gate remains blocked, so downstream VAE/diffusion cannot be treated as final.	"[""/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_tracking_parameter_contract_audit/stage1_tracking_parameter_contract_audit.json""]"	"{""stage1_contract_status"": ""blocked_stage1_teacher_contract_has_required_followups"", ""teacher_quality_blocked"": true}"
paper_contract_tracking_observation_action_reward	reference_contract_available	True	The paper defines motion phase, anchor error, IMU/root twist, joint state, and last action; actions are normalized PD setpoints; rewards are exponential body tracking terms plus three regularizers.	"[null, null, ""/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:47"", ""/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:441""]"	{}
official_whole_body_tracking_stage1	mostly_matches_available_official_stage1_code	True	Stage 1 should continue to use the official whole_body_tracking IsaacLab/RSL-RL task. The weak local videos are not evidence that the official Stage-1 formulation is wrong; they show the local teacher/checkpoint/data quality is not yet good enough.	"[""/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py"", ""/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/flat_env_cfg.py"", ""/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/rewards.py""]"	{}
resource_adjusted_teacher_rollout_vae	fails_paper_vae_contract	False	Local VAE encoder is obs+action -> latent and decoder is obs+latent -> action. The paper VAE encoder should encode reference motion intent E(psi, e_anchor), while the decoder combines z with proprioception. This mismatch can collapse learned outputs toward a generic posture.	"[""/mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_teacher_rollout_vae_training.py""]"	"{""encoder_obs_action"": true, ""decoder_obs_latent"": true, ""no_reference_anchor_split"": true}"
paper_contract_teacher_rollout_vae	ok_paper_contract_teacher_rollout_vae_training_completed	True	This is the preferred local VAE route because it repairs the major formula-level interface: encoder uses reference intent terms and decoder uses proprioception plus latent. It still cannot be called paper-level because the source teacher rollout is local, not official DAgger, and the source teacher quality gate remains weak.	"[""/mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_contract_teacher_rollout_vae_training.py"", ""/mnt/infini-data/test/BeyondMimic/res/level_c/paper_contract_teacher_rollout_vae_training/level_c_paper_contract_teacher_rollout_vae_training.json""]"	"{""encoder_terms_recorded"": true, ""encoder_uses_reference_intent_only"": true, ""decoder_uses_proprioception_plus_latent"": true, ""source_teacher_done_rate_low_enough"": false, ""official_dagger"": false}"
resource_adjusted_state_latent_diffusion	fails_paper_diffusion_contract	False	This path trains an MLP denoiser over policy_obs+latent windows. The paper uses a state-latent trajectory with hybrid character-yaw state, emphasis projection, individual state/latent denoising steps, and a Transformer denoiser. It is useful as a local diagnostic, not as the success video chain.	"[""/mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_state_latent_diffusion_training.py""]"	"{""mlp_denoiser"": true, ""uses_policy_obs_as_state"": true, ""no_transformer_encoder"": true}"
paper_contract_state_latent_dataset	ok_official_importer_export_paper_contract_teacher_rollout_state_latent_dataset	True	This dataset is the correct local route after paper-contract VAE, but its state source is still policy_obs rather than the full hybrid character-yaw state described in the paper, and it uses local teacher rollouts with many done events. It is a local contract candidate, not paper-level data.	"[""/mnt/infini-data/test/BeyondMimic/res/level_c/official_importer_export_paper_contract_teacher_rollout_state_latent_dataset/level_c_official_importer_export_paper_contract_teacher_rollout_state_latent_dataset.json""]"	"{""token_dim"": 192, ""obs_dim"": 160, ""latent_dim"": 32, ""done_counts"": [23537, 23663], ""paper_level_state_latent_dataset"": false}"
paper_contract_state_latent_diffusion	ok_official_importer_export_paper_contract_state_latent_diffusion_training	True	This is the current preferred local denoiser output because it improves denoising on a full paper-contract local window dataset. However the base implementation still uses the resource-adjusted MLP denoiser path, not the paper's 6-layer Transformer with 512-d embeddings and per-state/latent denoising embeddings. It therefore remains local diagnostic evidence.	"[""/mnt/infini-data/test/BeyondMimic/res/level_c/official_importer_export_paper_contract_state_latent_diffusion_training/level_c_official_importer_export_paper_contract_state_latent_diffusion_training.json""]"	"{""test_denoising_improvement_ratio"": 0.5111648986394071, ""denoising_steps"": 20, ""hidden_dim"": 512, ""paper_level_diffusion"": false}"
paper_contract_transformer_state_latent_diffusion_code_contract	ok_paper_contract_transformer_diffusion_dry_run	True	This is the corrected local code-contract route for the paper-style state-latent diffusion model: 6-layer Transformer, 512-d embeddings, 8 attention heads, 20 denoising steps, separate state/latent denoising-step embeddings, and clean-trajectory prediction. It has only been dry-run tested on a tiny local subset, so it proves architecture/gradient viability but not full training quality or closed-loop control.	"[""/mnt/infini-data/test/BeyondMimic/res/level_c/paper_contract_transformer_state_latent_diffusion_training/paper_contract_transformer_state_latent_diffusion_training.json""]"	"{""dry_run"": true, ""parameter_count"": 19142848, ""embedding_dim"": 512, ""attention_heads"": 8, ""transformer_layers"": 6, ""test_denoising_improvement_ratio_after_one_dry_step"": -107.74418172976208, ""paper_level_diffusion"": false}"
paper_contract_offline_guidance	ok_official_importer_export_paper_contract_state_latent_guidance_eval	True	The paper-contract guidance audit verifies differentiable cost gradients and cost reduction offline. It does not perform receding-horizon closed-loop MuJoCo/Isaac control, and its cost reductions are very small, so it cannot support Fig.5/Fig.6-style claims yet.	"[""/mnt/infini-data/test/BeyondMimic/res/level_c/official_importer_export_paper_contract_state_latent_guidance_eval/level_c_official_importer_export_paper_contract_state_latent_guidance_eval.json""]"	"{""task_count"": 4, ""row_count"": 48, ""all_best_costs_improve"": true, ""closed_loop_rollout"": false}"
