category	item	status	evidence	claim_level	notes
official_formula	joint_action_contract	ok_static_contract	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab/isaaclab/envs/mdp/actions/joint_actions.py	official IsaacLab action formula	IsaacLab applies processed_action = raw_action * scale + offset; clipping only exists when configured.
official_formula	tracking_mdp_contract	ok_static_contract	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py	official whole_body_tracking MDP	Policy obs/rewards/PPO configuration match the public tracking code contract.
teacher_gate	rootxy0_model250_strict	failed	/mnt/infini-data/test/BeyondMimic/res/tracking/hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_model250_strict_20260624_132900/tracking_hub_singleleg_paper_contract_ppo_checkpoint_eval.json	local single-motion strict teacher screening	iter=250 reward=0.04151430909751503 done_rate=0.27369661295369213 body_err=0.13491502981423137 joint_err=0.8728511021641527
teacher_gate	rootxy0_model500_strict	failed	/mnt/infini-data/test/BeyondMimic/res/tracking/hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_model500_strict_20260624_213700/tracking_hub_singleleg_paper_contract_ppo_checkpoint_eval.json	local single-motion strict teacher screening	iter=500 reward=0.04134666047598677 done_rate=0.2632294274092616 body_err=0.13441340681235395 joint_err=0.882636540150911
teacher_gate	relaxed_model1000_strict_eval	failed	/mnt/infini-data/test/BeyondMimic/res/tracking/hub_singleleg_paper_contract_ppo_checkpoint_eval_model1000_strict_overridefix_20260624_124800/tracking_hub_singleleg_paper_contract_ppo_checkpoint_eval.json	local single-motion strict teacher screening	iter=1000 reward=0.03907994591475775 done_rate=0.2650065104166667 body_err=0.14534089928492905 joint_err=0.8560752854992946
motion_distribution	hub_singleleg	informational	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_motion_bundle/motions/hub_singleleg_video_single_leg_stand_1/motion.npz	reference action-equivalent diagnostic	mean_abs_action_equiv=1.1550342911072515 p95=3.6736079582881187 frac_dims_outside_abs1=0.3294203961848863
motion_distribution	lafan1_walk1_subject1	informational	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_motion_bundle/motions/lafan1_walk1_subject1/motion.npz	reference action-equivalent diagnostic	mean_abs_action_equiv=0.9592361984867239 p95=3.170769118947775 frac_dims_outside_abs1=0.2680945405598005
motion_distribution	lafan1_jumps1_subject1	informational	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_motion_bundle/motions/lafan1_jumps1_subject1/motion.npz	reference action-equivalent diagnostic	mean_abs_action_equiv=0.8512547045996449 p95=3.1832755949203935 frac_dims_outside_abs1=0.2601978343179907
mujoco_adapter	native_mujoco_observation_action_adapter	gap	/mnt/infini-data/test/BeyondMimic/mujoco_mp4/res/adapter_gap/mujoco_ppo_adapter_gap_audit.json	local MuJoCo adapter audit	Implement and validate the IsaacLab command/observation/action/normalization adapter in MuJoCo before claiming native PPO control.
decision	downstream_vae_diffusion_guidance_video_gate	blocked_by_teacher_or_adapter	strict teacher quality gate and native MuJoCo adapter audit	hard gate for generating success videos	Do not generate success-claimed VAE/diffusion/guidance videos until strict teacher gate and adapter gate both pass.
