line	heading	section_id
1	# Current Goal Update｜2026-06-22 11:05 +08:00	Current Goal Update
57	# 1. Role｜角色设定	1. Role
85	# 2. Fixed runtime context｜固定路径和运行条件	2. Fixed runtime context
164	# 3. Mission｜总任务	3. Mission
206	# 4. Operating principles｜执行原则	4. Operating principles
208	## 4.1 Local-first	4.1 Local-first
254	## 4.2 下载目录保持只读	4.2 下载目录保持只读
277	## 4.3 证据优先级	4.3 证据优先级
299	## 4.4 自动连续执行	4.4 自动连续执行
318	# 5. Environment-first｜首先配置项目环境	5. Environment-first
322	## 5.1 系统审计	5.1 系统审计
362	## 5.2 环境位置	5.2 环境位置
376	### bm_tracking	bm_tracking
389	### bm_diffusion	bm_diffusion
400	### bm_analysis	bm_analysis
437	## 5.3 缓存和临时目录	5.3 缓存和临时目录
463	## 5.4 环境安装规则	5.4 环境安装规则
509	## 5.5 环境 smoke test	5.5 环境 smoke test
513	### 基础测试	基础测试
523	### Tracking 环境	Tracking 环境
539	### Diffusion 环境	Diffusion 环境
551	### Analysis 环境	Analysis 环境
564	# 6. GPU resource management｜0–7 卡使用规范	6. GPU resource management
594	## 6.1 PPO/motion tracking 调度	6.1 PPO/motion tracking 调度
632	## 6.2 VAE 和 diffusion 调度	6.2 VAE 和 diffusion 调度
663	## 6.3 自动监控	6.3 自动监控
708	# 7. Project structure｜项目目录	7. Project structure
777	# 8. Reproduction levels｜复现级别	8. Reproduction levels
779	## Level A：Released-data reproduction	Level A：Released-data reproduction
803	## Level B：Official-code motion tracking reproduction	Level B：Official-code motion tracking reproduction
832	## Level C：Paper-faithful VAE and diffusion reimplementation	Level C：Paper-faithful VAE and diffusion reimplementation
856	## Level D：Real-robot reproduction	Level D：Real-robot reproduction
872	# 9. Hard constraints｜不可违反的约束	9. Hard constraints
874	## 9.1 禁止结果导向修改方法	9.1 禁止结果导向修改方法
895	## 9.2 实验类型严格分开	9.2 实验类型严格分开
916	## 9.3 禁止隐性 proxy	9.3 禁止隐性 proxy
940	## 9.4 禁止数据或结果造假	9.4 禁止数据或结果造假
954	## 9.5 失败实验必须保存	9.5 失败实验必须保存
977	# 10. Paper-specific specification｜论文实现规范	10. Paper-specific specification
983	## 10.1 Motion tracking	10.1 Motion tracking
1022	## 10.2 Tracking target	10.2 Tracking target
1047	## 10.3 Reward	10.3 Reward
1098	## 10.4 Observation and action	10.4 Observation and action
1133	## 10.5 Domain randomization	10.5 Domain randomization
1164	## 10.6 Termination	10.6 Termination
1175	## 10.7 Adaptive sampling	10.7 Adaptive sampling
1204	## 10.8 Conditional VAE and DAgger	10.8 Conditional VAE and DAgger
1247	## 10.9 Diffusion dataset	10.9 Diffusion dataset
1288	## 10.10 State representation	10.10 State representation
1307	## 10.11 Diffusion Transformer	10.11 Diffusion Transformer
1347	## 10.12 Test-time guidance	10.12 Test-time guidance
1378	# 11. Execution phases｜完整执行阶段	11. Execution phases
1380	## Phase 0：本地资料和系统审计	Phase 0：本地资料和系统审计
1406	## Phase 1：环境创建和 smoke test	Phase 1：环境创建和 smoke test
1414	## Phase 2：公开数据和图表再现	Phase 2：公开数据和图表再现
1438	## Phase 3：Motion tracking smoke reproduction	Phase 3：Motion tracking smoke reproduction
1459	## Phase 4：Motion tracking full reproduction	Phase 4：Motion tracking full reproduction
1487	## Phase 5：Conditional VAE + DAgger	Phase 5：Conditional VAE + DAgger
1504	## Phase 6：State–latent dataset	Phase 6：State–latent dataset
1524	## Phase 7：Diffusion training	Phase 7：Diffusion training
1544	## Phase 8：Guidance tasks	Phase 8：Guidance tasks
1565	## Phase 9：消融	Phase 9：消融
1594	## Phase 10：最终对比	Phase 10：最终对比
1606	# 12. Evaluation｜评价指标	12. Evaluation
1608	## 12.1 Motion tracking	12.1 Motion tracking
1625	## 12.2 Adaptive sampling	12.2 Adaptive sampling
1638	## 12.3 VAE	12.3 VAE
1653	## 12.4 Diffusion and guidance	12.4 Diffusion and guidance
1674	## 12.5 统计	12.5 统计
1691	# 13. Paper comparison｜与原文对照	13. Paper comparison
1758	# 14. Coding requirements｜代码要求	14. Coding requirements
1803	# 15. Result and run management｜结果管理	15. Result and run management
1847	# 16. Final deliverables｜最终交付	16. Final deliverables
1851	## 环境	环境
1861	## 代码	代码
1876	## 实验	实验
1891	## 文档	文档
1925	# 17. Mandatory progress report｜阶段汇报	17. Mandatory progress report
1963	# 18. Initial action｜现在立即执行	18. Initial action
1967	## 第一步：只做审计和环境	第一步：只做审计和环境
1984	## 第二步：环境通过后自动继续	第二步：环境通过后自动继续
