line	kind	requirement	status	valid	issue	evidence
15	header	Requirement	Status	True		Evidence
17	requirement	Extract `download.rar` and keep raw downloads read-only	complete	True		`/mnt/infini-data/test/BeyondMimic/download`; no generated work is placed under raw downloads except supplemental Isaac Sim binary ledger.
18	requirement	Project boundary and raw-download policy audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/project_boundary_audit/project_boundary_audit.json` verifies the `download` top-level allowlist, supplemental download manifest, download manifests, source docs, project-local generated roots, and `project_env.sh` cache/tmp redirects with zero failed checks.
19	requirement	Mandatory local inventory TSV	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/docs/local_inventory.tsv`
20	requirement	System/GPU/disk/takeover audit	complete	True		`/mnt/infini-data/test/BeyondMimic/logs/setup/system_audit.txt`; `/mnt/infini-data/test/BeyondMimic/res/takeover_audit/takeover_audit.json` records the migrated ROOT, promoted workspace, preserved `other` backup, readable key JSON artifacts, script compile checks, 5/6 CUDA probe path, disk/permission checks, and runtime warnings (`nvcc` unavailable in shell, `isaaclab` import still blocked). No training was started.
21	requirement	GPU resource monitoring schema	partial	True		`/mnt/infini-data/test/BeyondMimic/reproduction/scripts/gpu_resource_audit.py` writes goal-schema snapshots to `/mnt/infini-data/test/BeyondMimic/logs/gpu/gpu_metrics.csv` and machine-readable audit output at `/mnt/infini-data/test/BeyondMimic/res/setup/gpu_resource_audit/gpu_resource_audit.json`. The current non-training snapshot records 24 rows over 8 GPUs, no artificial load, no power/clock changes, and the existing GPU6 `3988` MiB memory use. It does not prove sustained 18-22 GiB / 90% utilization for a real training run.
22	requirement	Run/log/config catalog	complete	True		`/mnt/infini-data/test/BeyondMimic/res/run_log_config_catalog/run_log_config_catalog.json` indexes 76 current setup, data, Level C, GPU, failed-run, and diagnostic run log/config/metric/status files with SHA256 hashes. It records 53 log/text files, 5 config files, 4 run/failure IDs, and zero valid paper-scale training runs. This improves traceability but does not create long training logs.
23	requirement	Run directory schema	partial	True		`/mnt/infini-data/test/BeyondMimic/reproduction/scripts/create_run_management_skeleton.py` creates diagnostic run `/mnt/infini-data/test/BeyondMimic/res/runs/setup_run_management_diagnostic_static_000_20260617_050000` with required `resolved_config.yaml`, `command.sh`, `stdout.log`, `stderr.log`, `environment.txt`, `git_state.txt`, `gpu_metrics.csv`, `metrics.json`, `metrics.csv`, `checkpoint/`, `figures/`, `videos/`, and `status.json`; `/mnt/infini-data/test/BeyondMimic/res/run_management_audit/run_management_audit.json` verifies the schema and that the run is `INVALID`, not a false training success. `/mnt/infini-data/test/BeyondMimic/res/run_management_audit/checkpoint_resume_smoke/checkpoint_resume_smoke.json` additionally verifies a deterministic diagnostic checkpoint/resume run with max resume error `0.0`. Real training checkpoints/videos remain missing.
24	requirement	Full run deliverable gap audit	partial	True		`/mnt/infini-data/test/BeyondMimic/res/run_management_audit/full_run_deliverable_gap_audit/full_run_deliverable_gap_audit.json` audits all current `res/runs/*` directories against the `goal.md` full-run contract. It records schema-complete run directories, 0 valid full training runs, diagnostic/debug runs, nonempty debug checkpoint/figure directories, and no valid full-training videos. Debug-only visual previews may exist under run `videos/`, but they do not satisfy the full-run contract because the corresponding runs remain `is_training_run=false` or lack paper training/evaluation endpoints. This keeps full training outputs, closed-loop videos, and paper evaluation explicitly missing.
25	requirement	Failed-run retention	partial	True		`/mnt/infini-data/test/BeyondMimic/reproduction/scripts/record_failed_run.py` preserves the real IsaacLab/Kit inotify failure under `/mnt/infini-data/test/BeyondMimic/res/failed_runs/phase1_isaaclab_headless_smoke_g1_inotify_0_20260616_200654` with run ID, error, config, checkpoint absence, last log, GPU status, failure reason, resolution plan, and `FAILED` status; `/mnt/infini-data/test/BeyondMimic/res/failed_runs/failed_run_audit/failed_run_audit.json` verifies all required fields. `/mnt/infini-data/test/BeyondMimic/reproduction/scripts/record_official_train_entry_failed_run.py` also preserves the bounded official train-entry retry failure under `/mnt/infini-data/test/BeyondMimic/res/failed_runs/phase1_official_train_entry_retry_inotify_0_20260617_174742`, with source retry JSON, command/config, checkpoint absence, retry log tail, GPU status, failure reason, resolution plan, and `FAILED` status; `/mnt/infini-data/test/BeyondMimic/res/failed_runs/official_train_entry_failed_run_audit/official_train_entry_failed_run_audit.json` verifies all required fields. This records failure evidence but does not resolve the blocker or create a training checkpoint.
