task	requirement	status	evidence	all_evidence_exists	detail
unconditional_rollout	without_guidance	debug_oracle_reverse_only	res/level_c/reverse_denoising_probe/level_c_reverse_denoising_probe.json	True	Oracle reverse mechanics without classifier guidance exist; no trained unconditional rollout.
unconditional_rollout	with_guidance	not_applicable_for_unconditional	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	Unconditional rollout is the no-guidance baseline task; guided variants are covered by task rows below.
unconditional_rollout	multiple_guidance_weights	not_applicable_for_unconditional	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	No guidance scale applies to the unconditional baseline.
unconditional_rollout	success_failure_videos	blocked_missing_videos	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	No closed-loop videos/checkpoints for unconditional diffusion rollout.
unconditional_rollout	quantitative_metrics	debug_metric_only	res/level_c/reverse_denoising_probe/level_c_reverse_denoising_probe.json;res/level_c/smoothness_latency_audit/level_c_smoothness_latency_audit.json	True	Reverse MSE/smoothness debug metrics exist; no rollout success metric.
joystick	without_guidance	public_data_reverse_guidance_baseline	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint records unguided reverse-denoising and one-shot trajectory baselines before joystick guidance.
joystick	with_guidance	public_data_reverse_guidance	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint applies joystick task-cost gradient inside a 20-step reverse-denoising loop; the symmetry-augmented checkpoint additionally covers full validation+test reverse-denoising and offline guidance.
joystick	multiple_guidance_weights	public_data_reverse_guidance_scale_sweep	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint sweeps five reverse-denoising guidance scales and seven one-shot offline scales; the full-split symmetry reverse audit covers validation+test windows.
joystick	success_failure_videos	blocked_missing_videos	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	No closed-loop joystick success/failure videos.
joystick	quantitative_metrics	public_data_reverse_guidance_metrics	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json;res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json	True	Reverse-denoising and one-shot full-checkpoint guidance record cost deltas and primary metrics; the full-split symmetry audits add 33,000 reverse rows and 46,200 offline rows; no task success rate.
waypoint	without_guidance	public_data_reverse_guidance_baseline	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint records unguided reverse-denoising and one-shot trajectory baselines before task guidance.
