area	contract	expected_from_paper_or_official	observed_in_current_project	status	passed	evidence	required_fix_before_long_training	claim_boundary
Stage-1 teacher/RL	Observation and PD-action contract	o=[psi,e_anchor,V_imu,theta-theta0,theta_dot,a_last], theta_sp=theta0+alpha*a.	Official whole_body_tracking code exposes generated command, anchor error, base velocities, joints, and last action; G1 action scale uses 0.25*tau_max/kp.	pass	True	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:not_found:\theta^{\text{sp}} | /mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/observations.py:not_found:generated_commands | /mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py:184	Keep using official whole_body_tracking for Stage-1; do not train a custom 160-D obs policy unless it matches this contract.	Pass here only proves the official source contract exists, not that the current teacher checkpoint is good.
Stage-1 teacher/RL	Reward terms and weights	Gaussian body pose/orientation/velocity rewards plus anchor/regularization terms from appendix table.	Official tracking config/reward code contains body_pos, body_orientation, body_lin_vel, body_ang_vel and Gaussian exp(-mean(square(error))/sigma^2) terms.	pass	True	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py:140 | /mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/rewards.py:not_found:def body_pos	Train only with the official reward config unless a row records an intentional ablation.	Reward-code alignment does not make released-data or MuJoCo videos paper-level.
Stage-1 teacher/RL	PPO hyperparameters	50 Hz policy, 24 steps/env, 30000 iterations, actor/critic [512,256,128], ELU, empirical normalization.	Official RSL-RL config matches these table parameters.	pass	True	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/agents/rsl_rl_ppo_cfg.py:7 | /mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/agents/rsl_rl_ppo_cfg.py:8	Use the official PPO config for any new teacher run; if GPU batch is increased, record the deviation explicitly.	PPO config matching is not teacher quality evidence.
PD/action scale/armature/material	PD gains, action scale, armature	omega=10 Hz, damping ratio 2, kp=I*omega^2, kd=2*zeta*I*omega, alpha=0.25*tau_max/kp.	Official G1 code implements natural frequency, damping ratio, armature-derived stiffness/damping, and action scale.	pass	True	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py:12 | /mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py:13	Propagate these constants into MuJoCo XML/adapters before judging control quality.	Matching constants in source do not prove the local MuJoCo XML/material/contact stack is identical.
Stage-1 teacher/RL	Adaptive sampling kernel	Paper text states pre-failure look-back u={0,1,2} with rho^u weighting.	Official MotionCommandCfg default currently exposes adaptive_kernel_size=1 unless an external config overrides it.	partial	False	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/root.tex:451 | /mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/commands.py:84	Before long teacher training, either set/verify adaptive_kernel_size=3 for paper-faithful runs or record the official default as a source-code discrepancy.	Do not silently call a kernel_size=1 run an exact appendix reproduction of adaptive sampling.
VAE	Encoder/decoder input contract	Encoder E(psi,e_anchor), decoder D(z, proprioception), latent dim 32, KL 0.01, lr 5e-4.	Local paper-contract VAE script uses command+anchor error encoder, proprio+latent decoder, latent dim 32, KL 0.01, lr 5e-4.	pass	True	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:153 | /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_contract_teacher_rollout_vae_training.py:162	Keep this interface; do not train the older obs+action VAE as if it were paper-faithful.	Interface alignment does not mean the VAE is trained on official DAgger rollouts.
VAE	Network architecture and gradient accumulation	Appendix table gives encoder/decoder hidden dims [2048,1024,512] and accumulated gradient steps 15.	Local paper-contract VAE now exposes HIDDEN_DIMS=[2048,1024,512] and GRAD_ACCUM_STEPS=15.	pass	True	/mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_contract_teacher_rollout_vae_training.py:47 | /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_contract_teacher_rollout_vae_training.py:306	Keep this as a regression gate; do not reuse older obs+action VAE checkpoints for paper-facing videos.	Architecture alignment does not prove official DAgger data or paper-level rollout quality.
Diffusion	Transformer denoiser architecture	Horizon 16, history 4, sequence length 21, embed 512, heads 8, layers 6, 20 denoising steps.	Local paper-contract diffusion script instantiates a Transformer encoder with configurable embed/heads/layers/steps and records dry-run/full-train mode.	pass	True	/mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_contract_transformer_state_latent_diffusion_training.py:155 | /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_contract_transformer_state_latent_diffusion_training.py:74	Use this route instead of the older MLP denoiser for paper-facing runs.	Dry-run architecture pass does not prove full diffusion training or rollout quality.
Diffusion	State-latent trajectory representation	Paper uses hybrid character-yaw-centric state plus latent, not raw 160-D policy observations.	Code path now supports paper_hybrid state windows and the paper-contract wrapper requires it, but the existing generated dataset is still old policy_obs/latent data and must be rebuilt.	pass	True	/mnt/infini-data/test/BeyondMimic/res/audits/state_latent_dataset_source_contract/beyondmimic_state_latent_dataset_source_contract_audit.json | /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.py:76 | /mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex:not_found:hybrid state representation	Regenerate the dataset from teacher rollout shards containing raw root/body state; do not train from the old policy_obs dataset.	A code-path pass is not a data-product pass; existing policy_obs+latent artifacts remain blocked.
Diffusion	Trainable state-latent dataset freshness	Generated training shards must contain corrected hybrid state windows, raw rollout state, and reset-safe windows.	existing_dataset_corrected=False, teacher_shards_have_raw_state=False, window_filter_ready=False.	blocked	False	/mnt/infini-data/test/BeyondMimic/res/audits/state_latent_dataset_source_contract/beyondmimic_state_latent_dataset_source_contract_audit.json	Collect new teacher rollout shards with raw world-state fields, then rebuild hybrid state-latent windows with done/reset rejection.	Until regenerated, downstream VAE/diffusion/guidance training from old shards is prohibited.
